dish_id,rank_equal,shift_equal,rank_carbon_200,shift_carbon_200,rank_water_scarce,shift_water_scarce,rank_planetary,shift_planetary,rank_energy_only,shift_energy_only,rank_carbon_only,shift_carbon_only,rank_water_only,shift_water_only
sashimi,15.0,0.0,23.0,8.0,11.0,4.0,20.0,5.0,16.0,1.0,87.0,72.0,15.0,0.0
satay,81.0,0.0,82.0,1.0,86.0,5.0,84.0,3.0,98.0,17.0,78.0,3.0,93.0,12.0
scallion_pancake,38.0,0.0,26.0,12.0,27.0,11.0,24.0,14.0,82.0,44.0,12.0,26.0,17.0,21.0
shawarma,115.0,0.0,108.0,7.0,114.0,1.0,108.0,7.0,122.5,7.5,94.0,21.0,104.0,11.0
souffle,109.0,0.0,107.0,2.0,93.0,16.0,102.0,7.0,111.0,2.0,116.0,7.0,74.0,35.0
soup,29.0,0.0,25.0,4.0,24.0,5.0,23.0,6.0,67.0,38.0,28.0,1.0,16.0,13.0
spanakopita,98.0,0.0,92.0,6.0,82.0,16.0,91.0,7.0,112.0,14.0,97.0,1.0,51.0,47.0
spring_rolls,116.0,0.0,89.0,27.0,92.0,24.0,87.0,29.0,144.0,28.0,60.0,56.0,49.0,67.0
steak,156.0,0.0,156.0,0.0,156.0,0.0,156.0,0.0,104.0,52.0,158.0,2.0,158.0,2.0
sundubu_jjigae,46.0,0.0,51.0,5.0,51.0,5.0,50.0,4.0,48.0,2.0,61.0,15.0,57.0,11.0
sushi,16.0,0.0,17.0,1.0,17.0,1.0,16.0,0.0,18.0,2.0,53.0,37.0,42.0,26.0
sweet_and_sour,141.0,0.0,133.0,8.0,136.0,5.0,133.0,8.0,151.0,10.0,109.0,32.0,130.0,11.0
tabbouleh,10.0,0.0,8.0,2.0,10.0,0.0,8.0,2.0,6.0,4.0,5.0,5.0,27.0,17.0
taco,145.0,0.0,147.0,2.0,142.0,3.0,147.0,2.0,100.0,45.0,147.0,2.0,143.0,2.0
takoyaki,39.0,0.0,31.0,8.0,26.0,13.0,29.0,10.0,80.0,41.0,32.0,7.0,12.0,27.0
tamale,30.0,0.0,34.0,4.0,38.0,8.0,34.0,4.0,26.0,4.0,36.0,6.0,55.0,25.0
tandoori_chicken,107.0,0.0,110.0,3.0,117.0,10.0,111.0,4.0,99.0,8.0,103.0,4.0,114.0,7.0
tapas,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,71.0,11.0,65.0,5.0,58.0,2.0
