from_dish,to_dish,category,E_reduction_pct,H_change,from_protein_g,to_protein_g,from_cal,to_cal,protein_ratio
manakish,pierogi,Starch/Carb,40.921919334284446,0.1507000000000005,17.5,19.455,617.5,662.05,1.1117142857142857
pav_bhaji,muhammara,Mixed/Other,40.91557553452488,2.8981000000000003,8.56,11.375000000000002,405.6,605.8000000000001,1.328855140186916
nasi_goreng,injera,Starch/Carb,40.91258012236182,-0.7050000000000001,27.975,15.0,600.6,546.0,0.5361930294906166
boat_noodles,wonton_noodle,Starch/Carb,40.833431325789206,4.429100000000001,22.97,40.14,722.1999999999999,704.6000000000001,1.7474967348715718
pizza,galette,Starch/Carb,40.813790439328265,-0.4238999999999997,38.18000000000001,26.435,996.0,704.25,0.6923782084861182
arancini,tahdig,Starch/Carb,40.81266564804523,2.725299999999999,16.52,8.694,746.2,424.2000000000001,0.526271186440678
korean_fried_chicken,doro_wot,Poultry Main,40.8012469727669,3.3682,65.83999999999999,57.40000000000002,1102.2,703.7,0.8718104495747271
stroganoff,iskender_kebab,Red Meat Main,40.79710239103332,2.3813999999999993,63.17499999999999,47.05,1126.25,772.7,0.7447566284131382
coxinha,mafe,Poultry Main,40.74768082039839,1.3516000000000004,34.31,53.45,883.4,802.3000000000001,1.557854852812591
meatloaf,taco,Red Meat Main,40.72688490972081,2.5745000000000005,59.97,36.815000000000005,681.1,528.6,0.6138902784725697
grilled_cheese,couscous,Starch/Carb,40.64714128801464,-0.9356,22.335,24.05,561.3499999999999,787.6,1.0767853145287665
baba_ganoush,xiao_long_bao,Mixed/Other,40.63278572309997,1.1697999999999995,6.065,28.46,309.00000000000006,447.82,4.692497938994229
poutine,kimchi_jjigae,Mixed/Other,40.62949017548255,1.7048999999999999,19.135,31.28,503.35,367.25,1.634700810033969
pide,paella,Mixed/Other,40.60375019006252,3.2635000000000005,41.0,47.42,717.1,708.15,1.1565853658536587
arancini,grilled_cheese,Starch/Carb,40.583215302148574,1.5553,16.52,22.335,746.2,561.3499999999999,1.351997578692494
poutine,pancake,Mixed/Other,40.566668630642816,2.9496999999999995,19.135,17.735000000000003,503.35,569.95,0.9268356414946434
chow_fun,pita,Starch/Carb,40.54174725016601,-0.8109999999999999,27.855,14.0,900.95,548.61,0.5026027643152037
pretzel,char_siu_bao,Starch/Carb,40.53484672953262,2.8515999999999995,12.09,24.91,527.85,524.6,2.0603804797353185
fried_chicken,mole,Poultry Main,40.520486411306415,1.2586000000000004,67.738,58.08,1048.02,673.8,0.8574212406625528
meatloaf,kibbeh,Red Meat Main,40.49850012071599,3.6872000000000007,59.97,38.835,681.1,755.8500000000001,0.6475737868934468
croissant,budae_jjigae,Mixed/Other,40.461791839048104,1.3896000000000006,12.05,23.87,807.0,452.55,1.9809128630705395
sweet_and_sour,bak_kut_teh,Pork Main,40.45398446155288,0.060900000000000176,48.7,56.290000000000006,982.3,516.75,1.155852156057495
katsu_curry,bossam,Pork Main,40.31746446187115,-0.2679,54.53,69.2,1084.9,631.9,1.2690262240968275
bulgogi,pho,Red Meat Main,40.29210084330004,-0.3487999999999989,55.0,33.29,685.5000000000001,830.05,0.6052727272727273
cornbread,penne_arrabbiata,Starch/Carb,40.26933674540885,3.502,12.5,18.236,495.35,636.49,1.45888
fried_chicken,satay,Poultry Main,40.25656665292174,3.3493000000000004,67.738,45.294,1048.02,544.34,0.6686645605125631
arancini,galette,Starch/Carb,40.243300423367444,-0.7191999999999998,16.52,26.435,746.2,704.25,1.600181598062954
japchae,crepe,Mixed/Other,40.240225974691555,0.04410000000000025,19.885,15.735,379.2000000000001,497.15,0.7912999748554186
fried_chicken,tikka_masala,Poultry Main,40.2225617922874,2.5450999999999997,67.738,57.232000000000006,1048.02,723.7900000000001,0.8449024181404825
nasi_goreng,kimbap,Starch/Carb,40.19918652837115,1.1287000000000003,27.975,16.53,600.6,372.9,0.5908847184986595
eggplant_parm,crepe,Mixed/Other,40.18416986619059,2.4534000000000002,23.82,15.735,607.5,497.15,0.6605793450881612
focaccia,injera,Starch/Carb,40.172821089165,2.8928000000000003,12.0,15.0,613.6,546.0,1.25
buffalo_wings,doro_wot,Poultry Main,40.11295788065993,4.5428,62.02,57.40000000000002,877.2,703.7,0.9255079006772011
korean_fried_chicken,mole,Poultry Main,40.102580854244046,0.6023000000000005,65.83999999999999,58.08,1102.2,673.8,0.8821385176184692
duck_confit,butter_chicken,Poultry Main,40.08639725842804,2.1431000000000004,48.32,52.602,849.95,807.2900000000001,1.0886175496688741
duck_confit,arroz_con_pollo,Poultry Main,40.04408008639395,-0.0,48.32,42.56,849.95,674.5500000000001,0.880794701986755
spanakopita,pajeon,Mixed/Other,40.027266322508176,1.4161000000000001,28.53,21.97,652.5999999999999,541.0,0.7700665965650192
lumpia,chilaquiles,Mixed/Other,39.95901816118057,-0.18400000000000016,21.08,22.8,574.1999999999999,490.8,1.0815939278937383
pernil,vindaloo,Pork Main,39.95588240929512,1.8737999999999992,83.07999999999998,58.352,890.75,718.89,0.702359171882523
fried_rice,char_siu_bao,Starch/Carb,39.92511448900588,5.3637,15.32,24.91,546.3000000000001,524.6,1.6259791122715403
tiramisu,gelato,Dessert,39.919965228521704,1.0046999999999997,10.765,8.73,625.85,520.6,0.8109614491407339
pizza_margherita,dan_dan_noodles,Starch/Carb,39.90259171686668,7.4415,32.796,42.065,856.09,918.75,1.2826259299914624
lumpia,crepe,Mixed/Other,39.901100312484125,4.5425,21.08,15.735,574.1999999999999,497.15,0.7464421252371917
french_fries,dim_sum,Mixed/Other,39.89557079390801,-0.2896000000000001,4.0,33.730000000000004,419.2,415.9,8.432500000000001
falafel,rice_and_peas,Plant Protein,39.894815222587496,2.4444,34.95899999999999,19.94,1011.7,595.0500000000001,0.5703824480105268
baba_ganoush,tamale,Mixed/Other,39.88396832288351,0.7266000000000004,6.065,25.765,309.00000000000006,429.19999999999993,4.248145094806265
tempura,lobster_roll,Seafood Main,39.85367124758699,1.4212999999999996,36.7,42.03999999999999,749.3,556.75,1.14550408719346
