Source_1,Source_2,N_dishes,Spearman_rho,Spearman_p,Pearson_r,Pearson_p
H_yelp,H_foodcom,110,0.11336508788364125,0.23831594387856925,0.0267305683577354,0.7816269270161397
H_yelp,H_crocufid,11,-0.3454545454545455,0.2980892209030388,-0.37496765964179957,0.2558461606927222
H_yelp,H_foodpics,25,0.1753846153846154,0.4017184112492952,0.0177567947453621,0.9328616999481705
H_yelp,H_google,157,0.6968070343956962,3.888881028012329e-24,0.7080343103500475,3.427765246398806e-25
H_yelp,H_tripadvisor,157,0.5952827278166386,1.9981392653839573e-16,0.5218480870037173,2.4074551205118965e-12
H_foodcom,H_crocufid,9,-0.5166666666666667,0.1543901209862251,-0.4781681223342534,0.19292444994122193
H_foodcom,H_foodpics,24,-0.16173913043478258,0.4502188848463706,-0.09180182098121663,0.6696491475918982
H_foodcom,H_google,110,0.1317572061114804,0.17003695245684142,-0.0211159137391744,0.8266811547564987
H_foodcom,H_tripadvisor,110,0.05730593145878622,0.5520755721843393,0.012525944866913986,0.896663297213899
H_crocufid,H_foodpics,5,0.6,0.28475697986529375,0.560972526303902,0.3252132922900356
H_crocufid,H_google,11,-0.3272727272727273,0.32589494101284167,-0.40326884693733805,0.2187566511005695
H_crocufid,H_tripadvisor,11,-0.09090909090909091,0.7903727377532903,-0.067112292549525,0.8445668172542214
H_foodpics,H_google,25,0.26153846153846155,0.20663834320215319,0.16875372678099254,0.4200245178471328
H_foodpics,H_tripadvisor,25,0.11538461538461539,0.582849841380997,0.0519517198425825,0.8051975342475097
H_google,H_tripadvisor,157,0.4796606280118334,2.0706541825263512e-10,0.49278898920844616,5.522988230579457e-11
