dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
baba_ganoush,0.2283327510889237,0.1873843105782115,0.18366074457357967,0.1303218354748789,0.15884056041357886,0.21116020656841616,0.25907897343200104,0.12875713795712213,0.7010596535262242
baklava,0.28131109410514,0.2273451946349603,0.22392740156161217,0.1622766001160201,0.1961278668084311,0.253964640780059,0.3051242160268259,0.14284761591080578,0.6379193207915744
banh_mi,0.2565416685710571,0.20934034779413074,0.20539095773992555,0.14496284266151038,0.17839199993144464,0.2364658406021851,0.2868360978888352,0.1418732552273248,0.6907473278690804
beef_bourguignon,0.8163411367437777,0.6424149900498352,0.6247461575967397,0.40329189641635466,0.5185940964484845,0.76306914439445,0.915620123812233,0.5123282273958784,0.8200582287159505
bibimbap,0.4103771234250521,0.31906917946592733,0.3064379420501846,0.2049630225442306,0.25931555672397266,0.3653127568638944,0.4739955390876163,0.2690325165433857,0.8779347451019199
biryani,0.3345396378994281,0.26579637944876,0.26186357794625614,0.19098032574298318,0.23064896259471412,0.29662163005715714,0.35648521103182107,0.1655048852888379,0.6320271287319135
brisket,0.9792094431862688,0.7653284581114234,0.7666872559717504,0.4997363021667689,0.6400574379741988,0.9078418116121377,1.0,0.5002636978332311,0.6525003434407732
brownie,0.3645830754384144,0.29002344790649315,0.2853903410675789,0.20571145066722502,0.248898473356663,0.3250805881770735,0.3927703004890042,0.18705884982177917,0.6554491267014697
bruschetta,0.2200736836601747,0.1814486240402755,0.1772660893438957,0.12425232576638705,0.15307158482662991,0.20532605478157218,0.2521706292232875,0.12791830345690042,0.7216174505251215
buffalo_wings,0.386292331318037,0.31125423304278343,0.3054994507821561,0.21916622016529916,0.2677653801522834,0.3494336865937032,0.42255219594180954,0.20338597577651038,0.6657490717439611
bulgogi,0.6615588732726678,0.5094579298725604,0.4895559811460868,0.2877765907642558,0.3899269251955933,0.6176096094005826,0.7817778795924243,0.49400128882816846,1.0090802846932334
bun_bo_hue,0.4268114422342925,0.3297842685876146,0.314076964133408,0.19918723262011545,0.2586595511020453,0.384119715654275,0.5151733073742298,0.3159860747541144,1.006078480241217
bun_cha,0.2664993860833531,0.21216085015258487,0.20801213804804652,0.14772725127620404,0.1810106655115486,0.23809156266535791,0.29105862620232603,0.143331374926122,0.6890529383098567
burrito,0.276301431930006,0.2166257270414179,0.21373945791981291,0.1571408598218561,0.1891354409909366,0.2410710127712355,0.2865695395728306,0.1294286797509745,0.6055441564726496
