dish_id,n_mentions,H_taste,satiety_mean,satiety_pos_rate,satiety_neg_rate,comfort_rate,occasion_special_rate,occasion_everyday_rate,E_composite,log_E,log_DEI,meal_role,calorie_kcal,protein_g,cuisine,category_recipe,H_satiety,H_composite,H_composite_best,log_DEI_composite,rank_original,rank_composite,rank_shift_composite
dolma,500,7.406593370199204,1.080931906251682,0.638,0.094,0.022,0.012,0.006,0.1463439103506557,-1.9217958768865624,3.924221375917714,Light Main,326.9,4.57,Mediterranean,Starch/Carb,10.0,10.0,8.184615359139443,4.0240520932199075,33.0,22.0,11.0
donburi,500,6.081436806201935,0.012748698491924206,0.074,0.06,0.01,0.012,0.004,0.2347841626076021,-1.4490886438669626,3.254257800004935,Full Main,568.8000000000001,41.505,Japanese,Poultry Main,2.0297270189342655,2.0297270189342655,4.865923870021634,3.0313452428164744,103.0,105.0,-2.0
dosa,500,6.871645079374313,0.07858225641034193,0.15,0.098,0.026,0.008,0.006,0.1613769949862088,-1.8240120674675224,3.751467252149477,Light Main,333.20000000000005,12.32,Indian,Starch/Carb,2.5209455890380212,2.5209455890380212,5.566435232273426,3.5407669223171543,47.0,48.0,-1.0
dumplings,500,7.079741397857666,0.10645916897141318,0.142,0.086,0.014,0.018,0.004,0.1552253181381092,-1.862877552204473,3.820151459910101,Full Main,599.2,36.57,Chinese,Pork Main,2.7289497978357034,2.7289497978357034,5.774503917851077,3.616329903251761,45.0,40.0,5.0
edamame,500,7.174163466215133,0.01463376325601032,0.106,0.098,0.016,0.022,0.006,0.122958281541028,-2.095910155605574,4.066373534715665,Full Main,669.0,54.75,Japanese,Plant Protein,2.0437924719835276,2.0437924719835276,5.635052167945651,3.8249165608975213,25.0,26.0,-1.0
elote,500,7.372278378486634,0.0837821521491617,0.12,0.064,0.012,0.02,0.01,0.1805572994317562,-1.7117071032098954,3.709396143017472,Light Main,385.55,11.02,Mexican,Starch/Carb,2.5597447278097247,2.5597447278097247,5.928518283283561,3.491481417085632,51.0,52.0,-1.0
enchilada,500,6.829557194948197,0.12069868319000228,0.134,0.064,0.012,0.016,0.008,0.2953211986902908,-1.219691705845425,3.141016379428124,Full Main,657.6,47.68,Mexican,Poultry Main,2.8351982527968556,2.8351982527968556,5.631249512302794,2.9480230616144354,118.0,112.0,6.0
escargot,500,7.1849992415905,0.1282898999978448,0.152,0.078,0.014,0.07,0.004,0.22905787543792,-1.4737805761890834,3.445776095720072,Full Main,477.05000000000007,4.02,French,Dairy Main,2.8918402874004987,2.8918402874004987,5.8970515553334995,3.2482330658067613,76.0,74.0,2.0
fajita,500,6.671004239320755,0.039763410722610644,0.072,0.048,0.018,0.01,0.006,0.2319769200463485,-1.4611173948233878,3.3588871685507664,Full Main,595.3000000000001,41.99,Mexican,Poultry Main,2.2312979006138924,2.2312979006138924,5.339092337708696,3.1361730591363832,89.0,89.0,0.0
falafel,500,7.341277606010437,0.042120412824779435,0.122,0.088,0.008,0.006,0.016,0.3067878357769481,-1.1815988589812332,3.175073932109877,Heavy Main,1011.7,34.95899999999999,Mediterranean,Plant Protein,2.2488847247043307,2.2488847247043307,5.813559741618605,2.9417919344149137,113.0,114.0,-1.0
fish_and_chips,500,6.800981203317642,-0.01155258946415764,0.102,0.098,0.022,0.016,0.012,0.3253698736066217,-1.1227926711303742,3.039862331323876,Heavy Main,1036.9,47.580000000000005,Other,Seafood Main,1.8484024133849344,1.8484024133849344,5.31520756633783,2.7933647350945394,126.0,126.0,0.0
french_fries,500,6.585307281255722,0.033450179090083645,0.108,0.092,0.014,0.006,0.006,0.247277363637544,-1.3972446426614702,3.2820389778567147,Full Main,419.2,4.0,American,Mixed/Other,2.184191581081432,2.184191581081432,5.264972571203434,3.0583205785858683,99.0,100.0,-1.0
french_onion_soup,500,7.064659948348999,0.125774244458685,0.122,0.062,0.014,0.022,0.014,0.2794902450794066,-1.274787888321964,3.229940904458455,Full Main,615.6,28.98,French,Soup/Stew,2.873069667128828,2.873069667128828,5.8071828639829475,3.0338834644834956,108.0,104.0,4.0
fresh_spring_roll,500,7.119387711763382,-0.06688788943452896,0.114,0.134,0.014,0.008,0.004,0.0531295222848464,-2.9350225299987,4.897789796120436,Light Main,315.3,19.890000000000004,Vietnamese,Mixed/Other,1.4355168306036983,1.4355168306036983,5.414226447415476,4.624052546584212,11.0,12.0,-1.0
fried_chicken,500,7.047846906423569,0.05358501653058954,0.094,0.076,0.032,0.006,0.01,0.393529317972158,-0.9325997082529256,2.885343596886804,Heavy Main,1048.02,67.738,American,Poultry Main,2.3344281225889336,2.3344281225889336,5.633821271273178,2.6613876539652166,134.0,136.0,-2.0
fried_rice,500,6.659910928010941,0.06963789533964845,0.086,0.042,0.018,0.004,0.014,0.2050187887838639,-1.584653651439358,3.480773135991656,Full Main,546.3000000000001,15.32,Chinese,Starch/Carb,2.4542070381445327,2.4542070381445327,5.398199761051018,3.2707191718437816,72.0,71.0,1.0
gazpacho,500,7.436058485031128,-0.09302576704970207,0.156,0.172,0.004,0.016,0.01,0.0402863263051759,-3.2117431652422823,5.21807623510148,Light Main,258.25,4.96,Spanish,Soup/Stew,1.2404884700890935,1.2404884700890935,5.577387480548517,4.930463638548639,9.0,9.0,0.0
gelato,500,7.564455893039703,0.040773726857387664,0.108,0.08,0.016,0.028,0.016,0.0648149325917145,-2.736219260941248,4.759619411737459,Full Main,520.6,8.73,Italian,Dessert,2.238836397131017,2.238836397131017,5.966770044267097,4.522425010824577,14.0,14.0,0.0
general_tso,500,6.648940572500229,-0.011310061030011486,0.076,0.08,0.026,0.006,0.006,0.3714217975765348,-0.9904169414881232,2.884883408908441,Heavy Main,946.6,56.38500000000001,Chinese,Poultry Main,1.8502120447400925,1.8502120447400925,5.209322014172187,2.6408666571487265,135.0,139.0,-4.0
gnocchi,500,7.210735423088074,0.09035060089129388,0.168,0.116,0.018,0.034,0.008,0.1493656341086219,-1.9013580587901768,3.876965696724799,Full Main,601.2499999999999,21.075,Italian,Mixed/Other,2.608755355534089,2.608755355534089,5.830141402821877,3.6643993132018213,36.0,36.0,0.0
green_curry,500,7.287345746040344,0.01944366982041442,0.102,0.082,0.022,0.012,0.008,0.2611478475643975,-1.3426685662766351,3.32876050496478,Heavy Main,854.75,46.04999999999999,Thai,Poultry Main,2.0796816977766586,2.0796816977766586,5.725046531561238,3.087519243467531,93.0,94.0,-1.0
grilled_cheese,500,7.194328895092011,0.10466760501175473,0.106,0.054,0.034,0.016,0.01,0.1882054209607936,-1.6702212479906786,3.643468593264111,Full Main,561.3499999999999,22.335,American,Starch/Carb,2.715582003137391,2.715582003137391,5.850704827505625,3.4367833853112044,59.0,60.0,-1.0
guacamole,500,6.930391091108322,0.035919866244634224,0.082,0.07,0.012,0.012,0.006,0.0347126588909858,-3.3606508490176483,5.29651066221946,Light Main,266.00999999999993,4.025,Mexican,Salad/Cold,2.202619207219538,2.202619207219538,5.5120595259416865,5.067589182006993,7.0,7.0,0.0
gyro,500,7.1580102360248565,0.04477330813462593,0.092,0.066,0.02,0.008,0.014,0.4052126119464612,-0.9033433818539308,2.8715739941977647,Full Main,637.1,47.26,Mediterranean,Red Meat Main,2.2686793626054547,2.2686793626054547,5.691210973999036,2.642266432304046,136.0,138.0,-2.0
hamburger,500,6.7116592979431156,-0.008252010768566081,0.072,0.06,0.022,0.01,0.018,0.5502933141427692,-0.597303844467298,2.501200813632204,Full Main,649.15,51.365,American,Red Meat Main,1.8730297554066517,1.8730297554066517,5.260070435182176,2.2574482618463065,152.0,153.0,-1.0
hot_and_sour_soup,500,6.7260684015750885,0.04134688767467811,0.104,0.084,0.022,0.002,0.008,0.1340866392818403,-2.009269126157478,3.915249739475556,Side/Snack,186.9,13.329999999999998,Chinese,Soup/Stew,2.243113049434358,2.243113049434358,5.381181795932869,3.6921771408799566,34.0,34.0,0.0
hummus,500,7.34693403673172,0.04266241606631802,0.1,0.09,0.022,0.006,0.018,0.0956000970923752,-2.3475814433146778,4.341873509952818,Heavy Main,849.2000000000002,35.415,Mediterranean,Plant Protein,2.252928894056838,2.252928894056838,5.8187324939292555,4.108663896791288,21.0,21.0,0.0
ice_cream,500,7.337649823665619,0.0769159470075983,0.11,0.064,0.018,0.016,0.002,0.0838113240686453,-2.4791871485395447,4.472253474472635,Full Main,699.1999999999999,8.94,Other,Dessert,2.508512384027584,2.508512384027584,5.888908591774209,4.252257830522829,20.0,20.0,0.0
japchae,500,7.317705533981323,0.05806650686754377,0.116,0.086,0.04,0.01,0.008,0.2850385521038225,-1.255130837321993,3.245467903919008,Light Main,379.2000000000001,19.885,Korean,Mixed/Other,2.3678668633293394,2.3678668633293394,5.832753932785728,3.0186200988420557,105.0,107.0,-2.0
katsu,500,6.9729694623947145,0.013029697847362283,0.108,0.088,0.042,0.006,0.012,0.3813776644673086,-0.9639651494936456,2.906010697732519,Heavy Main,996.9,58.27,Japanese,Pork Main,2.0318237019321588,2.0318237019321588,5.490625734255947,2.66700737561599,132.0,135.0,-3.0
kebab,500,7.285519941329956,0.03612480772121294,0.114,0.088,0.03,0.014,0.022,0.4289247527784806,-0.8464737768875165,2.8324284754738884,Heavy Main,712.8499999999999,52.034,Mediterranean,Red Meat Main,2.2041483826471326,2.2041483826471326,5.761108473725109,2.597603676435523,144.0,146.0,-2.0
kimbap,394,7.30718487803706,0.040606120703057434,0.13451776649746192,0.09644670050761421,0.07106598984771574,0.005076142131979695,0.025380710659898477,0.1364470620417334,-1.9918185634503345,3.980651356259415,Light Main,372.9,16.53,Korean,Starch/Carb,2.2375858000484063,2.2375858000484063,5.7863051546404645,3.747312508786475,28.0,31.0,-3.0
kimchi,500,7.177682727098465,-0.008478048502626867,0.102,0.108,0.018,0.014,0.01,0.0107893163244967,-4.529198863675368,6.500219656400783,Side/Snack,118.7,5.75,Korean,Salad/Cold,1.8713431697803298,1.8713431697803298,5.585780859903024,6.249423100193063,1.0,1.0,0.0
kimchi_jjigae,222,6.817320955766214,0.08988423943127705,0.13513513513513514,0.07207207207207207,0.04054054054054054,0.0045045045045045045,0.018018018018018018,0.1738305685587496,-1.749674198079432,3.66909369046008,Light Main,367.25,31.28,Korean,Mixed/Other,2.6052755890322565,2.6052755890322565,5.553707345746027,3.464139893056119,57.0,57.0,0.0
korean_fried_chicken,500,6.228400840997696,-0.016905693639935892,0.066,0.078,0.022,0.0,0.008,0.3907836556182036,-0.9396011825688586,2.7686564365406108,Heavy Main,1102.2,65.83999999999999,Korean,Poultry Main,1.8084601064219596,1.8084601064219596,4.902418620624975,2.529329861952896,148.0,148.0,0.0
korma,500,7.242839961528778,0.1081868722821562,0.118,0.054,0.008,0.01,0.006,0.2480675328093393,-1.394054260171638,3.374089745384828,Full Main,658.94,59.84200000000001,Indian,Poultry Main,2.741841094868721,2.741841094868721,5.892540301530761,3.1677414554385552,86.0,84.0,2.0
kung_pao_chicken,500,6.488988980531692,-0.0401671841128447,0.054,0.062,0.012,0.012,0.008,0.2407579913425084,-1.4239630353241268,3.294071470963158,Heavy Main,751.6500000000002,58.24500000000001,Chinese,Poultry Main,1.6348939731325465,1.6348939731325465,5.032760478311948,3.039931671743885,97.0,103.0,-6.0
larb,500,7.071301666736603,-0.015921511603255493,0.118,0.106,0.028,0.004,0.01,0.2198598697019789,-1.5147648914724623,3.4707668040945663,Full Main,430.2,43.925,Thai,Pork Main,1.8158036027795323,1.8158036027795323,5.494652247549482,3.218540192075129,74.0,77.0,-3.0
lasagna,500,6.88505160856247,0.19409815897840862,0.17,0.096,0.02,0.02,0.018,0.5943961798471784,-0.5202092125050639,2.449554344685682,Heavy Main,1042.0500000000002,63.81,Italian,Red Meat Main,3.382870088911599,3.382870088911599,5.834397152667208,2.283980157167877,153.0,152.0,1.0
lo_mein,500,6.505016119241715,0.01961959993505027,0.076,0.066,0.022,0.004,0.002,0.1958151798842702,-1.630584024392002,3.5031551363564706,Heavy Main,847.2500000000001,40.11500000000001,Chinese,Starch/Carb,2.0809944042759287,2.0809944042759287,5.177809604751978,3.274966135009002,69.0,70.0,-1.0
lobster_roll,500,7.177135761499405,0.002246048874750636,0.1,0.078,0.026,0.012,0.014,0.1997214767272574,-1.610831499389194,3.5817129678371287,Full Main,556.75,42.03999999999999,American,Seafood Main,1.9513612630739794,1.9513612630739794,5.609403411971776,3.3352758695918636,63.0,66.0,-3.0
mac_and_cheese,500,6.986111844539642,0.1056076506793644,0.134,0.056,0.044,0.008,0.004,0.3013898684318615,-1.199350608378424,3.143258754763064,Heavy Main,934.2,37.48,American,Dairy Main,2.7225961749864602,2.7225961749864602,5.707057143673687,2.9410541127922207,117.0,115.0,2.0
mango_sticky_rice,500,7.382435421943665,0.026733013152426637,0.084,0.072,0.042,0.012,0.004,0.1575942646055001,-1.8477314943176475,3.846776098925454,Full Main,528.4,6.77,Thai,Dessert,2.1340712966645627,2.1340712966645627,5.807926184359935,3.6069550624549596,41.0,43.0,-2.0
mapo_tofu,500,6.878624212741852,0.08729605421466662,0.114,0.058,0.032,0.008,0.01,0.2133064982371322,-1.5450251887221362,3.473498481266013,Full Main,453.19999999999993,32.055,Chinese,Mixed/Other,2.5859637869442915,2.5859637869442915,5.5908260850025835,3.2661522440411224,73.0,72.0,1.0
massaman_curry,500,7.312558967113495,0.008882330876750985,0.108,0.072,0.014,0.004,0.008,0.5748645506702768,-0.5536208299860484,2.5432744162748624,Heavy Main,1186.2,54.85,Thai,Red Meat Main,2.0008780301894307,2.0008780301894307,5.719054686036276,2.2974243570410704,151.0,151.0,0.0
minestrone,500,6.638289823532104,0.11229434771996412,0.14,0.074,0.014,0.022,0.006,0.1196048159520431,-2.123562171118755,4.016372884416538,Light Main,316.90000000000003,7.750000000000001,Italian,Mixed/Other,2.772489115044034,2.772489115044034,5.478549610985683,3.824402567519358,26.0,27.0,-1.0
miso_soup,500,6.964753091573715,0.021262511806339816,0.108,0.094,0.018,0.006,0.006,0.1090529409366971,-2.2159218179984954,4.156819425230264,Side/Snack,135.2,11.52,Japanese,Soup/Stew,2.093253028080242,2.093253028080242,5.503303072525673,3.9212702886147803,23.0,25.0,-2.0
moussaka,500,7.123813797950745,0.22471051977446,0.178,0.072,0.014,0.014,0.01,0.5167985075858745,-0.660102214316145,2.62357157974356,Full Main,669.8000000000001,42.78,Mediterranean,Red Meat Main,3.6112849061142667,3.6112849061142667,6.070055130399801,2.463469901784495,149.0,149.0,0.0
naan,500,7.20288468003273,0.04937010253537589,0.1,0.064,0.014,0.012,0.012,0.2138116130018896,-1.5426599647386732,3.517157570645899,Full Main,472.75,13.09,Indian,Starch/Carb,2.3029784472059793,2.3029784472059793,5.732912810184704,3.288883710139136,68.0,68.0,0.0
