confound,description,n,pearson_r,pearson_p,spearman_rho,spearman_p
biz_stars,Restaurant avg stars (1-5),76927,0.2702942858757618,0.0,0.2254474336739379,0.0
price_range,Restaurant price range (1-4),73713,0.048427243683679726,1.581098763380996e-39,0.04448806169255797,1.2777955680390401e-33
text_len,Review text length (chars),76927,-0.06367378978162466,6.191716191829438e-70,-0.09348368983724052,7.342844324581882e-149
dish_biz_stars_mean,Dish-level biz_stars_mean,158,,,0.757333276687396,1.129260648470082e-30
dish_price_mean,Dish-level price_mean,158,,,0.23766197414526144,0.0026397210522229363
dish_text_len_mean,Dish-level text_len_mean,158,,,0.17863450565064143,0.02472541694277655
dish_n_mentions,Dish-level n_mentions,158,,,-0.13284566040565782,0.09611874635551242
