target_cv_pct,actual_cv_pct,var_log_H,var_log_E,var_log_DEI,H_contribution_pct,E_contribution_pct,rank_rho_vs_original,tier_changes,tier_change_pct
3.9,3.8999999999999977,0.0015676448376374674,0.6215293673455394,0.6226922348999105,0.25175275196573554,99.74824724803426,0.9999906600675215,0,0.0
5.0,4.999999999999998,0.002604491599446633,0.6215293673455394,0.6236486536026971,0.4176216182623006,99.5823783817377,0.9996405736328875,12,3.592814371257485
7.0,6.999999999999998,0.0052204734923190325,0.6215293673455394,0.6261603302276314,0.8337279192409404,99.16627208075906,0.9973461709094921,28,8.383233532934131
10.0,9.999999999999996,0.011108435418858888,0.6215293673455394,0.6320056869419367,1.7576480162083474,98.24235198379165,0.9910803644828133,52,15.568862275449103
15.0,14.999999999999996,0.027635943502174444,0.6215293673455394,0.6488530195309147,4.259199336415776,95.74080066358422,0.9731634753888754,79,23.652694610778443
20.0,19.999999999999986,0.058159528079903114,0.6215293673455394,0.6811199625591471,8.538808327006368,91.46119167299364,0.949641338541151,100,29.94011976047904
25.0,24.999999999999982,0.17477590121119033,0.6215293673455394,0.8016103341556214,21.80309980600375,78.19690019399624,0.9215104281151292,127,38.02395209580838
30.0,29.999999999999975,0.2680027921532748,0.6215293673455394,0.9052843770833098,29.604265680220788,70.39573431977921,0.8904921902866314,145,43.41317365269461
40.0,39.99999999999996,0.5580947624759623,0.6215293673455394,1.2013465555660086,46.45576747943633,53.54423252056367,0.8354632405217802,164,49.101796407185624
50.0,49.99999999999994,0.817460397423142,0.6215293673455394,1.4547881065116042,56.19102835417781,43.80897164582219,0.7824153226423314,178,53.293413173652695
