dish_id,functional_category,H_mean,E_composite,is_pareto,log_DEI
gyro,Protein Main,7.158,0.4052126119464612,False,2.8715739941977647
hamburger,Protein Main,6.712,0.5502933141427692,False,2.5012008136322037
katsu,Protein Main,6.973,0.3813776644673086,False,2.906010697732519
kebab,Protein Main,7.286,0.4289247527784806,False,2.8324284754738884
korean_fried_chicken,Protein Main,6.228,0.3907836556182036,False,2.7686564365406108
korma,Protein Main,7.243,0.2480675328093393,False,3.3740897453848278
kung_pao_chicken,Protein Main,6.489,0.2407579913425084,False,3.294071470963158
lobster_roll,Protein Main,7.177,0.1997214767272574,False,3.5817129678371287
orange_chicken,Protein Main,6.438,0.3702907257974551,False,2.8556847693582617
osso_buco,Protein Main,7.166,0.934,False,2.0376264596360567
peking_duck,Protein Main,7.07,0.3637668649375477,False,2.967102577390219
pulled_pork,Protein Main,6.972,0.4097443133224298,False,2.8341240675200154
ribs,Protein Main,7.004,0.5441126977074214,False,2.555080303102137
samgyeopsal,Protein Main,7.223,0.274564609930532,False,3.2698390516440545
sashimi,Protein Main,7.112,0.0629854347994419,False,4.726635271191234
shawarma,Protein Main,7.158,0.3031312637237955,False,3.1618199660166395
steak,Protein Main,6.761,0.7815011469219191,False,2.157709469639796
sweet_and_sour,Protein Main,6.416,0.3685525819004364,False,2.8569667563720684
tempura,Protein Main,6.976,0.3320592974999239,False,3.044917405693164
teriyaki,Protein Main,6.712,0.2907920050126571,False,3.1390439959445158
vindaloo,Protein Main,7.325,0.2360593776690798,True,3.434965060212993
baba_ganoush,Salad/Cold/Side,7.495,0.2283327510889237,True,3.4911874109213503
bruschetta,Salad/Cold/Side,7.304,0.2200736836601747,False,3.502215006269477
caesar_salad,Salad/Cold/Side,6.747,0.0525168062162769,False,4.855720003851538
caprese,Salad/Cold/Side,7.136,0.1118488797934876,False,4.155759001631012
coleslaw,Salad/Cold/Side,6.704,0.013196413963922,False,6.230514518878259
edamame,Salad/Cold/Side,7.174,0.122958281541028,False,4.066373534715665
elote,Salad/Cold/Side,7.372,0.1805572994317562,False,3.709396143017472
gazpacho,Salad/Cold/Side,7.436,0.0402863263051759,True,5.21807623510148
hummus,Salad/Cold/Side,7.347,0.0956000970923752,False,4.341873509952818
kimchi,Salad/Cold/Side,7.178,0.0107893163244967,True,6.500219656400783
larb,Salad/Cold/Side,7.071,0.2198598697019789,False,3.4707668040945663
papaya_salad,Salad/Cold/Side,7.193,0.0108332800613693,True,6.49824072662393
raita,Salad/Cold/Side,6.859,0.0280594219823921,False,5.49899246238172
tabbouleh,Salad/Cold/Side,7.356,0.0422978507033765,False,5.158535311757774
clam_chowder,Soup/Stew,6.858,0.1957745939328879,False,3.556207166540037
french_onion_soup,Soup/Stew,7.065,0.2794902450794066,False,3.229940904458455
green_curry,Soup/Stew,7.287,0.2611478475643975,True,3.32876050496478
hot_and_sour_soup,Soup/Stew,6.726,0.1340866392818403,False,3.915249739475556
kimchi_jjigae,Soup/Stew,6.817,0.1738305685587496,False,3.66909369046008
massaman_curry,Soup/Stew,7.313,0.5748645506702768,True,2.5432744162748624
miso_soup,Soup/Stew,6.965,0.1090529409366971,True,4.156819425230264
pozole,Soup/Stew,7.237,0.1813985581478384,True,3.686265445685047
red_curry,Soup/Stew,7.176,0.2608840882697989,False,3.314421201306305
tom_kha,Soup/Stew,7.207,0.1858816088936304,False,3.657698095195142
tom_yum,Soup/Stew,7.086,0.1541886022669634,True,3.827699742287696
banh_mi,Wrapped/Stuffed,7.249,0.2565416685710571,False,3.3413277053142947
burrito,Wrapped/Stuffed,6.827,0.276301431930006,False,3.207148202983316
chile_relleno,Wrapped/Stuffed,6.786,0.3181617528849141,False,3.060057035015254
crepe,Wrapped/Stuffed,7.239,0.1703383946222554,True,3.749451339174017
dumplings,Wrapped/Stuffed,7.08,0.1552253181381092,False,3.820151459910101
enchilada,Wrapped/Stuffed,6.83,0.2953211986902908,False,3.141016379428124
fajita,Wrapped/Stuffed,6.671,0.2319769200463485,False,3.3588871685507664
nachos,Wrapped/Stuffed,6.823,0.2693445432591771,False,3.232063146816772
quesadilla,Wrapped/Stuffed,6.777,0.2259953170821839,False,3.4007755269538
samosa,Wrapped/Stuffed,7.343,0.2564875522755967,True,3.354422623158337
spring_rolls,Wrapped/Stuffed,6.845,0.2903988081034614,False,3.1600185591072547
sushi,Wrapped/Stuffed,6.974,0.0640243446175479,True,4.690680831554638
taco,Wrapped/Stuffed,7.05,0.418539769036379,False,2.824010982825598
xiao_long_bao,Wrapped/Stuffed,7.102,0.1355547936033021,True,3.9587557740869945
