category,from_dish,to_dish,from_E,to_E,E_reduction_pct,E_ratio,from_H,to_H,H_change,from_cuisine,to_cuisine,sub_score
Beverage,ca_phe_sua_da,thai_iced_tea,0.0363340634140795,0.0243759548418201,32.91156410440351,1.4905698525394262,7.43,7.216,-0.21399999999999952,Vietnamese,Thai,1.1715879040959898
Beverage,coquito,ca_phe_sua_da,0.0536235508357889,0.0363340634140795,32.24233970378967,1.4758478903025667,7.585839964308828,7.43,-0.15583996430882863,Caribbean,Vietnamese,1.2458518077525547
Beverage,coquito,thai_iced_tea,0.0536235508357889,0.0243759548418201,54.5424455078209,2.19985437221892,7.585839964308828,7.216,-0.36983996430882815,Caribbean,Thai,1.386260309712855
Bread/Pastry,cornbread,dosa,0.2367189718162237,0.1613769949862088,31.82760395246499,1.4668693752567,6.978,6.872,-0.10599999999999987,American,Indian,1.31138122147949
Bread/Pastry,cornbread,pancake,0.2367189718162237,0.1740145033925502,26.488991542407504,1.360340472783592,6.978,7.162,0.18400000000000016,American,American,1.6106431197757731
Bread/Pastry,cornbread,scallion_pancake,0.2367189718162237,0.145579254449721,38.50123066488259,1.6260487987179506,6.978,6.964,-0.013999999999999346,American,Chinese,1.6032841155359003
Bread/Pastry,cornbread,waffle,0.2367189718162237,0.1785825277098203,24.559266906387844,1.3255438527607226,6.978,7.266,0.28800000000000026,American,American,1.707300482355811
Bread/Pastry,cornbread,blini,0.2367189718162237,0.1563061924550484,33.96972314648426,1.5144567729413596,6.978,7.542095698562323,0.5640956985623236,American,Russian,2.368755324216158
Bread/Pastry,cornbread,chilaquiles,0.2367189718162237,0.1701742379834779,28.111280360075106,1.3910388236273847,6.978,7.330795008182526,0.3527950081825262,American,Mexican,1.8817903767912196
Bread/Pastry,cornbread,idli,0.2367189718162237,0.1159702392454211,51.009317776416175,2.0412044793256747,6.978,6.451770156934327,-0.5262298430656731,American,Indian,0.967061766505176
Bread/Pastry,cornbread,injera,0.2367189718162237,0.1348193172949901,43.04667840494981,1.755823843094184,6.978,7.2875367732048035,0.3095367732048038,American,African,2.2993158898016155
Bread/Pastry,cornbread,uttapam,0.2367189718162237,0.1644797233120192,30.516881663497287,1.4391985045303495,6.978,7.27104725963191,0.29304725963191025,American,Indian,1.8609516823493117
Bread/Pastry,croissant,dosa,0.2528773599570321,0.1613769949862088,36.18369196292252,1.5669975759471966,7.299,6.872,-0.4270000000000005,French,Indian,0.8978896110177429
Bread/Pastry,croissant,pancake,0.2528773599570321,0.1740145033925502,31.186206854532937,1.453197032586297,7.299,7.162,-0.13700000000000045,French,American,1.2541090391219738
Bread/Pastry,croissant,scallion_pancake,0.2528773599570321,0.145579254449721,42.43088646826381,1.737042553988136,7.299,6.964,-0.33499999999999996,French,Chinese,1.1551332984021105
Bread/Pastry,croissant,waffle,0.2528773599570321,0.1785825277098203,29.379787996772688,1.416025202465125,7.299,7.266,-0.03300000000000036,French,American,1.3692963707837753
Bread/Pastry,croissant,blini,0.2528773599570321,0.1563061924550484,38.18893376551886,1.617833279572441,7.299,7.542095698562323,0.24309569856232294,French,Russian,2.0111215908274773
Bread/Pastry,croissant,chilaquiles,0.2528773599570321,0.1701742379834779,32.70483446505721,1.4859908465203986,7.299,7.330795008182526,0.031795008182525564,French,Mexican,1.5332379376446728
Bread/Pastry,croissant,idli,0.2528773599570321,0.1159702392454211,54.139730316258316,2.180536675636948,7.299,6.451770156934327,-0.8472298430656737,French,Indian,0.33312093013811067
Bread/Pastry,croissant,injera,0.2528773599570321,0.1348193172949901,46.6858886387069,1.875676016098837,7.299,7.2875367732048035,-0.011463226795196846,French,African,1.8541747165319848
Bread/Pastry,croissant,tortilla_espanola,0.2528773599570321,0.1919485336685301,24.094219545338014,1.3174227232895568,7.299,7.174698081493378,-0.12430191850662275,French,Spanish,1.1536645513004453
Bread/Pastry,croissant,uttapam,0.2528773599570321,0.1644797233120192,34.95672236535253,1.5374378972982703,7.299,7.27104725963191,-0.027952740368090367,French,Indian,1.494462294923029
Bread/Pastry,dosa,idli,0.1613769949862088,0.1159702392454211,28.13706857329209,1.3915380017859238,6.872,6.451770156934327,-0.42022984306567324,Indian,Indian,0.8067722056755046
Bread/Pastry,naan,dosa,0.2138116130018896,0.1613769949862088,24.52374652597443,1.324920029773524,7.203,6.872,-0.3310000000000004,Indian,Indian,0.886371499918487
Bread/Pastry,naan,scallion_pancake,0.2138116130018896,0.145579254449721,31.912372576117086,1.4686956174496288,7.203,6.964,-0.23899999999999988,Indian,Chinese,1.1176773648791678
Bread/Pastry,naan,blini,0.2138116130018896,0.1563061924550484,26.895368188599278,1.3679023821361334,7.203,7.542095698562323,0.339095698562323,Indian,Russian,1.8317521959716512
Bread/Pastry,naan,idli,0.2138116130018896,0.1159702392454211,45.76055172251275,1.8436765707571963,7.203,6.451770156934327,-0.7512298430656736,Indian,Indian,0.45865170984340836
Bread/Pastry,naan,injera,0.2138116130018896,0.1348193172949901,36.9448107134393,1.585912295743652,7.203,7.2875367732048035,0.08453677320480324,Indian,African,1.7199802038116419
Bread/Pastry,pancake,idli,0.1740145033925502,0.1159702392454211,33.35599218197927,1.5005099974338536,7.162,6.451770156934327,-0.7102298430656733,American,Indian,0.434803017437934
Bread/Pastry,pita,dosa,0.2214726334827755,0.1613769949862088,27.134566267412207,1.3723928463391106,7.042,6.872,-0.16999999999999993,Mediterranean,Indian,1.1390860624614618
