dish_id,H_finetuned,H_restaurant_controlled,rank_raw,rank_ctrl,rank_shift
pho,6.973536778926849,7.019808793416914,105.0,107.0,2.0
pita,7.041780240535736,6.990670073481072,96.0,124.0,28.0
pizza,6.83827793765068,7.029779445819349,127.0,100.0,27.0
pizza_margherita,7.12551219201088,7.099179409726254,73.0,57.0,16.0
pozole,7.237013613700866,7.105690822350827,45.0,54.0,9.0
pulled_pork,6.971712380170822,6.997480456883231,107.0,119.0,12.0
quesadilla,6.777314955711365,7.01963959970333,135.0,108.0,27.0
quiche,7.306136783838272,7.038211983458492,30.0,92.0,62.0
raita,6.8586782135963436,6.869202869404978,123.0,151.0,28.0
ramen,6.941901822805405,7.007980478672592,112.0,113.0,1.0
ratatouille,7.241654368877411,7.047107324273587,43.0,86.0,43.0
ravioli,7.221642953634262,7.119610083634132,49.0,44.0,5.0
red_curry,7.176237165927887,7.069811578991634,61.0,71.0,10.0
ribs,7.00398721909523,7.078198498431991,98.0,67.0,31.0
risotto,7.0815280063152315,6.996335445617123,84.0,121.0,37.0
samgyeopsal,7.223038626670838,7.081277210135228,48.0,65.0,17.0
samosa,7.343216485738754,7.255477254005477,20.0,4.0,16.0
sashimi,7.111825874567032,7.120701425017451,78.0,42.0,36.0
satay,7.066363778352738,7.01935314343684,89.0,109.0,20.0
scallion_pancake,6.964431890964508,7.0358355714591605,109.0,94.0,15.0
shawarma,7.1584102356433865,6.925264177053723,68.0,146.0,78.0
souffle,7.419460524082184,7.145275473041773,8.0,28.0,20.0
soup,6.73338640165329,6.905743295955158,142.0,149.0,7.0
spanakopita,7.365290198564529,7.08890956227086,15.0,61.0,46.0
spring_rolls,6.8453974871635435,7.07622197755413,125.0,68.0,57.0
steak,6.761370492219925,6.961152071472192,137.0,133.0,4.0
sundubu_jjigae,7.118769274864878,7.0582329267311374,76.0,79.0,3.0
sushi,6.973915680646896,7.1717731207184725,104.0,18.0,86.0
sweet_and_sour,6.415947596073151,6.960513284093356,155.0,135.0,20.0
tabbouleh,7.3562949101924895,7.132765390361784,17.0,35.0,18.0
taco,7.050286285638809,7.152637060964857,93.0,24.0,69.0
takoyaki,7.143663384199143,7.034484364173924,70.0,96.0,26.0
tamale,7.246568392515183,7.111438593582651,40.0,48.0,8.0
tandoori_chicken,7.061005901098252,7.014032436195311,91.0,111.0,20.0
tapas,7.397435901165008,7.138653488325875,10.0,34.0,24.0
tempura,6.976093923807144,7.025876458368147,103.0,104.0,1.0
teriyaki,6.712053010463714,7.035805651818128,144.0,95.0,49.0
thai_iced_tea,7.215509473085404,7.1401098131295235,52.0,33.0,19.0
tikka_masala,7.079414768695831,7.060535856146244,86.0,77.0,9.0
tiramisu,7.448100246667862,7.279382164236402,5.0,1.0,4.0
tom_kha,7.207190975427627,7.084669212143525,54.0,64.0,10.0
tom_yum,7.086130287885666,7.051671884871876,82.0,83.0,1.0
tteokbokki,6.905516568422318,6.801610545640338,117.0,157.0,40.0
udon,6.9405572681427,6.951483766626721,114.0,138.0,24.0
vindaloo,7.32528520822525,7.261665168013994,23.0,2.0,21.0
waffle,7.265546613931656,7.126046174868922,38.0,37.0,1.0
wonton_soup,6.753461321592331,6.98133981525078,139.0,127.0,12.0
xiao_long_bao,7.102329231262207,7.08558804295215,80.0,63.0,17.0
yakitori,6.842002369880676,6.937329630648061,126.0,143.0,17.0
