quartile,n,r_dH_dE,p_value,mean_abs_dH,mean_overlap
"(-0.001, 0.33]",627,-0.009929929783366773,0.8040144177428361,0.9499316101439261,0.1611844653814286
"(0.33, 0.702]",627,0.002331455506275732,0.9535390141259472,0.46094900398163136,0.5395235515152673
"(0.702, 1.0]",1254,0.02118667243969882,0.45349838882076043,0.07790142725529282,0.9369429449851522
