,equal,carbon_200,water_scarce,planetary,energy_only,carbon_only,water_only
equal,1.0,0.9696938811212746,0.9675641468360514,0.9663867080240781,0.8004773665489052,0.81608223208323,0.8086707567706534
carbon_200,0.9696938811212746,1.0,0.9838444442078071,0.9978185435964214,0.6750370613254894,0.9191431166227282,0.8841120301083577
water_scarce,0.9675641468360514,0.9838444442078071,1.0,0.9911585602387736,0.6658533079130813,0.8667546956837893,0.9231591869891489
planetary,0.9663867080240781,0.9978185435964214,0.9911585602387736,1.0,0.6586775973206795,0.9125166005181339,0.9062673516297791
energy_only,0.8004773665489052,0.6750370613254894,0.6658533079130813,0.6586775973206795,0.9999999999999999,0.4385504669111583,0.39157291363493246
carbon_only,0.81608223208323,0.9191431166227282,0.8667546956837893,0.9125166005181339,0.4385504669111583,1.0,0.8469359969210126
water_only,0.8086707567706534,0.8841120301083577,0.9231591869891489,0.9062673516297791,0.39157291363493246,0.8469359969210126,1.0
