dish_id,price_tier,n_mentions,H_mean,H_std
enchilada,2,391,6.7808075246908475,2.024533922052854
enchilada,3,6,6.9607023398081465,1.932415663264164
escargot,1,19,5.633493065834045,1.9238270842161187
escargot,2,174,7.1949426518089465,1.6311731931679567
escargot,3,247,7.320242904458452,1.5092720144865566
escargot,4,38,7.292384003338061,1.4925273689169443
fajita,1,87,7.07156022526752,1.6226013359244627
fajita,2,394,6.574191727008916,2.0223462930683773
falafel,1,184,7.363961454966794,1.3903031955754854
falafel,2,281,7.304002336335776,1.4716464976773893
fish_and_chips,1,27,6.841566165288289,1.9544880846277737
fish_and_chips,2,454,6.7893663011983625,1.9733572762365006
fish_and_chips,3,6,6.926055709520976,2.020684263450254
french_fries,1,116,6.46674267485224,2.1692305444177196
french_fries,2,342,6.601284480582901,2.059783304857392
french_fries,3,24,6.626549929380417,1.9002625432665623
french_onion_soup,1,26,6.910117892118601,1.933532776495506
french_onion_soup,2,312,6.971692452063928,1.8614745320951755
french_onion_soup,3,121,7.202241596111581,1.5963851924834669
french_onion_soup,4,40,7.449681234359741,0.9004128233807762
fresh_spring_roll,1,136,6.907111636856023,1.7829706650302128
fresh_spring_roll,2,339,7.187427003123416,1.4707921430784572
fresh_spring_roll,3,6,7.150775631268819,1.8305884799392693
fried_chicken,1,62,6.75878389804594,1.7921224273392982
fried_chicken,2,404,7.082191317978472,1.6184564167675197
fried_chicken,3,17,7.204970913774827,1.8749602560523952
fried_rice,1,133,6.160717631641187,2.3487058828048295
fried_rice,2,327,6.853706525006426,1.9043230494169152
fried_rice,3,19,6.314138017202678,2.470895310477659
gazpacho,1,25,7.5703115558624265,1.2459071203515188
gazpacho,2,325,7.411114381643442,1.3330788709005352
gazpacho,3,122,7.435387726689949,1.180886018509042
gazpacho,4,10,7.087365627288818,1.1891334771997075
gelato,1,121,7.627106845871476,0.8832470595992755
gelato,2,334,7.509687426561367,1.170433242432017
gelato,3,28,7.72604056767055,0.7611950251625298
general_tso,1,209,6.531018571990529,2.0454330473518194
general_tso,2,265,6.755156225978204,1.962279774552887
