feature,coef,se_ols,se_hc3,t_hc3,p_hc3
intercept,2.0721461647207433,0.03776890664217894,0.058123099235397914,35.65099232455885,0.0
log(E_carbon_norm),-0.3388917983057885,0.034117598408975776,0.0429572996054914,-7.8890386830197,4.5075054799781356e-14
log(E_water_norm),-0.30117283194436845,0.042435180554678834,0.05904225784988979,-5.10097077774492,5.711260526730655e-07
log(E_energy_norm),-0.09355534120530917,0.0034842965229551375,0.006053306925513167,-15.455244935788228,0.0
