fraction,n_comparisons,cv_mean,cv_std,cv_q25,cv_q75,rho_mean,rho_std,rho_q25,rho_q75
0.05,3117,5.419788332545158,0.6220674225575815,5.020676515365365,5.844271540232583,0.5856058349936007,0.010990154345336066,0.5794951078946375,0.5949113441403213
0.1,6234,6.220018827070741,0.721769738720472,5.785206503472211,6.510804708449176,0.737632498274053,0.008006483703211456,0.7320368708931857,0.7432561295208469
0.15000000000000002,9351,6.904503666690471,0.6476251665421684,6.501838287547186,7.1206753560356475,0.8119874875873723,0.005342223429911052,0.8100693479136072,0.8160525836673203
0.2,12468,7.69215096280646,0.4944587383022781,7.29750648114302,7.956899476092346,0.8535312811274179,0.0051968706389476284,0.8497874566477186,0.8578900725771688
0.25,15585,8.378335010863658,0.24038990724983952,8.274351686384371,8.609648162388172,0.8834073010419672,0.002400287407618478,0.8813856709002313,0.8852471457822887
0.3,18702,8.692862913462559,0.36775407606252936,8.458431105229938,8.979556517042656,0.9045660755330474,0.0032694929915219394,0.9030536400619377,0.9066808149464881
0.35000000000000003,21820,9.028760355532324,0.3888722553429977,8.639308736040213,9.442201585662945,0.9199215336632367,0.0014175226937826622,0.9190429301815439,0.9207183371212413
0.4,24937,9.067975821033665,0.4145213256426959,8.701181660567663,9.278016442986381,0.9322414357277979,0.001890936657410275,0.9311550220184199,0.9337744163654844
0.45,28054,9.432971713684434,0.42843636482470293,9.093734088079023,9.78998331229525,0.9427006326403158,0.0019096993551810646,0.9418974401539421,0.9440744232835807
0.5,31171,9.403852588601648,0.40416569248224654,9.194100793671687,9.599625702069195,0.9516987463761192,0.0012257293293438342,0.9512042053253269,0.9524288815643376
0.55,34288,9.416056003735818,0.41293763868107186,9.2196612413455,9.695176175660228,0.9591677923039861,0.0012835435147342613,0.9582220268078885,0.9598754517357346
0.6000000000000001,37405,9.65393004881211,0.3640513032835949,9.420060332612165,9.903000514554915,0.9657184919566001,0.001186802514525068,0.9651279512872395,0.9661872403931718
0.6500000000000001,40522,9.80482425050346,0.31614102280515666,9.535632517665096,10.067040875830186,0.9710083189890989,0.0011991327698945226,0.9700772062649085,0.9717989903093841
0.7000000000000001,43640,9.868926781973546,0.2870267111894992,9.666354042808702,10.092793888733368,0.9760811715791368,0.0009071935968033852,0.9756076445759755,0.976673572216715
0.7500000000000001,46757,10.147639275465448,0.19623551209884335,10.048880248394187,10.306066476385018,0.9804304345569383,0.0006779036297095946,0.979963904980705,0.9809827660874991
0.8,49874,10.236658288245062,0.1717348897465524,10.15962557069399,10.345343372419457,0.9845151679139246,0.00043873613593035455,0.984337672866052,0.9847514070670768
0.8500000000000001,52991,10.397245343021499,0.1687362657134917,10.257665692411045,10.555372557718506,0.9880381497762742,0.0004992885775716392,0.9877273852814108,0.9881787577750257
0.9000000000000001,56108,10.503858697855701,0.21388404090349564,10.367992415832333,10.638071195755622,0.9914183906841949,0.000401056124804371,0.9911828005473985,0.9916142507143564
0.9500000000000001,59225,10.66582625710824,0.152733496279779,10.561435959627353,10.77390176873541,0.9944065378115585,0.0002753912541507321,0.9942193003422042,0.9946369012233576
1.0,62343,10.81264387952034,3.552713678800501e-15,10.812643879520337,10.812643879520337,0.9999999999999998,1.1102230246251565e-16,0.9999999999999999,0.9999999999999999
