platform,spearman_rho,p_value,ci95_lo,ci95_hi,n
foodcom,0.11336508788364125,0.23831594387856925,-0.07491925698436575,0.2887479841459913,110
crocufid,-0.3454545454545455,0.2980892209030388,-0.8411214953271027,0.4312796208530805,11
foodpics,0.1753846153846154,0.4017184112492952,-0.24277698076398604,0.5399038271197125,25
google,0.6968070343956962,3.888881028012329e-24,0.5876674807425942,0.7795952506985959,157
tripadvisor,0.5952827278166386,1.9981392653839573e-16,0.4779469689638694,0.6888899439582863,157
