dish_id,H_original,H_within,n_mentions
baba_ganoush,7.494730348825454,0.10082491623832653,500
baklava,7.480218629837037,0.08647330253832818,500
banh_mi,7.249215884208679,0.01953976473926813,500
beef_bourguignon,7.34375483538974,0.011468301682249998,402
bibimbap,7.176191483974457,0.00206243710596037,500
biryani,6.7893765993118285,-0.19521815829641143,500
brisket,7.046026602268219,0.0756982279578011,500
brownie,7.362209852695465,0.05524826696169538,500
bruschetta,7.30421360039711,0.06465608491228482,500
buffalo_wings,6.761100242853165,0.008229488723993086,500
bulgogi,7.375190054893493,0.09733502465903185,500
bun_bo_hue,6.8833929083347325,-0.22013716423242985,500
bun_cha,7.232413867803721,0.1355596742099928,130
burrito,6.82708843255043,-0.06311379898337956,500
butter_chicken,7.296981916666031,0.06456947818782295,500
ca_phe_sua_da,7.429808631658554,0.1541867563278711,500
caesar_salad,6.746965309858322,-0.1307497017155402,500
caprese,7.135709910869599,-0.03327053815391313,500
ceviche,7.3008384318351744,0.04751872471610257,500
chana_masala,7.131082696199417,0.04425777442879513,500
char_siu,7.016940265178681,-0.0288658810896388,500
cheesecake,7.2683516690731045,0.17169784139257543,500
chicken_salad,6.953136897325516,0.05963697380355291,500
chicken_sandwich,6.743452202796936,-0.08594566751629826,500
chile_relleno,6.785895975828171,-0.07138119505054052,500
chow_fun,7.170736167669296,0.15785040183679191,500
chow_mein,6.050800094127655,-0.21119637311140402,500
churro,7.396128391504288,0.088205733420201,500
churros_spanish,7.322710609436035,-0.08954042788455045,20
clam_chowder,6.857696507453919,0.00662410032034608,500
club_sandwich,6.949709343194962,-0.014344683748834994,500
coleslaw,6.703614482402801,-0.12160713678388554,500
com_tam,6.941465224742889,-0.05561025718623361,500
congee,6.983513193845749,-0.0020857635991226946,500
coq_au_vin,7.166124363400242,-0.11046629880656791,409
cornbread,6.978018912315369,-0.011882792719266448,500
creme_brulee,7.324001138687134,0.019995551494028513,500
crepe,7.23927464723587,-0.02227889910963425,500
croissant,7.299064743518829,0.02492250937198106,500
dal,6.929083550214767,-0.1536166213785233,500
dan_dan_noodles,7.242503416776657,0.09392345794204812,500
dim_sum,6.977454904556274,0.09140882172069544,500
dolma,7.406593370199204,0.11534590665518436,500
donburi,6.081436806201935,-0.47385535219592456,500
dosa,6.871645079374313,-0.11042021188509504,500
dumplings,7.079741397857666,0.06583142265394594,500
edamame,7.174163466215133,0.0930586252568171,500
elote,7.372278378486634,0.06442922786599145,500
enchilada,6.829557194948197,-0.11104280554772848,500
escargot,7.1849992415905,-0.01327206646782775,500
fajita,6.671004239320755,-0.05880515979422182,500
falafel,7.341277606010437,-0.013163425448585267,500
fish_and_chips,6.800981203317642,-0.007972391813225095,500
french_fries,6.585307281255722,-0.0711400013624609,500
french_onion_soup,7.064659948348999,0.08592702926651828,500
fresh_spring_roll,7.119387711763382,0.03663359302758255,500
fried_chicken,7.047846906423569,0.05724817753607069,500
fried_rice,6.659910928010941,-0.08919267671851008,500
gazpacho,7.436058485031128,0.1244258372064619,500
gelato,7.564455893039703,0.10748231021864159,500
general_tso,6.648940572500229,-0.006719765655015032,500
gnocchi,7.210735423088074,-0.018697012148824327,500
green_curry,7.287345746040344,0.14285298834641924,500
grilled_cheese,7.194328895092011,0.03341634968377214,500
guacamole,6.930391091108322,0.04042194109026997,500
gyro,7.1580102360248565,-0.028485799423998957,500
hamburger,6.7116592979431156,-0.05152121367293039,500
hot_and_sour_soup,6.7260684015750885,0.06665462298857248,500
hummus,7.34693403673172,0.009246722032412554,500
ice_cream,7.337649823665619,0.15785448807753275,500
japchae,7.317705533981323,0.1236234556523822,500
katsu,6.9729694623947145,0.05431489320397168,500
kebab,7.285519941329956,-0.040382246579098224,500
kimbap,7.30718487803706,0.003991730551278264,394
kimchi,7.177682727098465,-0.05995218909036102,500
kimchi_jjigae,6.817320955766214,-0.21999203193049993,222
korean_fried_chicken,6.228400840997696,-0.029113159740818982,500
korma,7.242839961528778,0.12340747323811285,500
kung_pao_chicken,6.488988980531692,-0.09193060847213846,500
larb,7.071301666736603,-0.1061607833578994,500
lasagna,6.88505160856247,-0.15034688813849764,500
lo_mein,6.505016119241715,-0.022372725390069258,500
lobster_roll,7.177135761499405,0.08561619665741237,500
mac_and_cheese,6.986111844539642,0.030892561386352036,500
mango_sticky_rice,7.382435421943665,0.1995889819071082,500
mapo_tofu,6.878624212741852,0.0005973055480855844,500
massaman_curry,7.312558967113495,0.169870708942905,500
minestrone,6.638289823532104,-0.09499269156013983,500
miso_soup,6.964753091573715,-0.034373305844016246,500
moussaka,7.123813797950745,-0.05491851327313148,500
naan,7.20288468003273,0.05396471687722756,500
nachos,6.8230120642185215,-0.011559226662596197,500
okonomiyaki,7.215562420119025,0.05685214311295112,377
onigiri,7.0846805474758145,-0.04623607690310673,500
orange_chicken,6.438323560714721,-0.0997118901560957,500
osso_buco,7.166162472009659,-0.022894161554366334,500
pad_see_ew,6.88666158246994,-0.1501192911089106,500
pad_thai,6.77723597407341,-0.20432956462506335,500
