main,side,H_meal,E_meal,log_DEI_meal,total_cal,total_protein,main_cuisine,side_cuisine
causa,som_tam,6.060238655462186,0.0437991225227132,4.929890676923662,595.0,25.07,South American,Thai
causa,papaya_salad,5.314365529010239,0.0510452465028439,4.645456484255499,586.0,24.925,South American,Thai
causa,fattoush,6.361382094081943,0.0612410293746315,4.643183563606976,659.0,22.77,South American,Lebanese
causa,rojak,4.33152323876315,0.043067013462384604,4.610917191197013,627.4,25.78,South American,Indonesian
causa,kimchi,4.903665133345266,0.0510012827659713,4.565887406211344,558.7,24.96,South American,Korean
tabbouleh,ceviche,7.665846371191137,0.0817163972608835,4.541275522860932,631.75,38.775,Mediterranean,Mexican
tabbouleh,raita,6.563678943452381,0.07035727268576861,4.535720382456004,537.6,23.226,Mediterranean,Indian
tabbouleh,gado_gado,7.253463067767791,0.0791395497612586,4.518021551524489,823.4000000000001,30.080000000000002,Mediterranean,Indonesian
gelato,raita,8.475683420344883,0.0928743545741066,4.513709014956364,632.1,24.656,Italian,Indian
nicoise_salad,som_tam,6.087459021512839,0.066926960176719,4.510384157656383,576.4,33.019999999999996,French,Thai
gelato,ceviche,9.186566795180724,0.1042334791492215,4.478864190316597,726.25,40.205,Italian,Mexican
causa,guacamole,6.428648507811504,0.0749246253324604,4.452036997106813,706.01,23.235,South American,Mexican
causa,gado_gado,6.466584067837095,0.0770536654993567,4.429901149656093,837.3,41.99,South American,Indonesian
gelato,gado_gado,8.499125373134328,0.1016566316495966,4.426117761924106,917.9000000000001,31.51,Italian,Indonesian
causa,ceviche,6.636517919925657,0.0796305129989816,4.422945346738468,645.65,50.685,South American,Mexican
causa,gazpacho,6.675364052989617,0.0804982927466505,4.417943045471457,698.25,24.17,South American,Spanish
causa,thai_iced_tea,5.332309090909091,0.0645879212832947,4.4135122323887845,605.0,21.85,South American,Thai
causa,harissa,5.982541854636592,0.0739269248254958,4.393523712992018,798.0,27.115000000000002,South American,African
causa,ca_phe_sua_da,6.127160317603537,0.0765460298555541,4.3825944207986565,554.15,21.205000000000002,South American,Vietnamese
tabbouleh,tzatziki,5.962541037204058,0.0751525732179569,4.3737316610195105,620.9000000000001,23.095,Mediterranean,Greek
gelato,tzatziki,7.731321526418786,0.09766965510629491,4.371444169457423,715.4000000000001,24.525,Italian,Greek
causa,coleslaw,4.223405409915862,0.053408380405396604,4.370429380696304,719.05,21.82,South American,American
causa,raita,5.386406436990027,0.06827138842386671,4.3681429638046945,551.5,35.136,South American,Indian
hummus,som_tam,7.794095000995817,0.09918725317361379,4.3641121650146175,1004.2000000000002,41.275,Mediterranean,Thai
nicoise_salad,fattoush,6.39462863835103,0.0843688670286373,4.328015182218593,640.4,30.72,French,Lebanese
tabbouleh,labneh,6.494968272498891,0.08765121847280449,4.305417531338296,676.7,27.3,Mediterranean,Lebanese
gelato,labneh,8.070527385892117,0.1101683003611425,4.293964910727341,771.2,28.73,Italian,Lebanese
