dish_id,E_current,E_best_benchmark,E_reducible,E_reduction_pct,benchmark_dish,benchmark_H,has_efficient_alternative
baba_ganoush,0.2283327510889237,0.0347126588909858,0.1936200921979379,84.79733690176272,guacamole,8.706,True
baklava,0.28131109410514,0.0347126588909858,0.2465984352141542,87.66040173374323,guacamole,8.706,True
banh_mi,0.2565416685710571,0.0347126588909858,0.2218290096800713,86.46899777165397,guacamole,8.706,True
beef_bourguignon,0.8163411367437777,0.0363340634140795,0.7800070733296982,95.5491568685355,ca_phe_sua_da,9.9583,True
bibimbap,0.4103771234250521,0.0243759548418201,0.386001168583232,94.06010875109808,thai_iced_tea,6.2269,True
biryani,0.3345396378994281,0.0347126588909858,0.2998269790084423,89.6237530748385,guacamole,8.706,True
brisket,0.9792094431862688,0.0347126588909858,0.9444967842952829,96.45503225765127,guacamole,8.706,True
brownie,0.3645830754384144,0.0107893163244967,0.3537937591139177,97.04064257192344,kimchi,4.6016,True
bruschetta,0.2200736836601747,0.0243759548418201,0.19569772881835462,88.92373025415431,thai_iced_tea,6.2269,True
buffalo_wings,0.386292331318037,0.0107893163244967,0.3755030149935403,97.20695560077951,kimchi,4.6016,True
bulgogi,0.6615588732726678,0.0347126588909858,0.626846214381682,94.75289950851,guacamole,8.706,True
bun_bo_hue,0.4268114422342925,0.0347126588909858,0.3920987833433067,91.8669802502786,guacamole,8.706,True
bun_cha,0.2664993860833531,0.0243759548418201,0.24212343124153302,90.85327917633701,thai_iced_tea,6.2269,True
burrito,0.276301431930006,0.0107893163244967,0.2655121156055093,96.09509214297887,kimchi,4.6016,True
butter_chicken,0.2453824918883798,0.0363340634140795,0.2090484284743003,85.19288677261979,ca_phe_sua_da,9.9583,True
ca_phe_sua_da,0.0363340634140795,,0.0,0.0,,,False
caesar_salad,0.0525168062162769,0.0107893163244967,0.0417274898917802,79.45549795990317,kimchi,4.6016,True
caprese,0.1118488797934876,0.0108332800613693,0.1010155997321183,90.31435980282382,papaya_salad,5.653,True
ceviche,0.039418546557507,0.0363340634140795,0.003084483143427498,7.824954019873872,ca_phe_sua_da,9.9583,True
chana_masala,0.1795333304373007,0.0347126588909858,0.1448206715463149,80.66506157578986,guacamole,8.706,True
char_siu,0.3230840935392318,0.0243759548418201,0.2987081386974117,92.45522904739965,thai_iced_tea,6.2269,True
cheesecake,0.4162269009143125,0.0347126588909858,0.38151424202332673,91.6601596834002,guacamole,8.706,True
chicken_salad,0.0681619356522414,0.0107893163244967,0.057372619327744706,84.17105350478423,kimchi,4.6016,True
chicken_sandwich,0.2305453291832126,0.0107893163244967,0.2197560128587159,95.32008895486122,kimchi,4.6016,True
chile_relleno,0.3181617528849141,0.0347126588909858,0.2834490939939283,89.08961917130809,guacamole,8.706,True
chow_fun,0.372484261208624,0.0243759548418201,0.3481083063668039,93.4558430032115,thai_iced_tea,6.2269,True
chow_mein,0.19426553805153,0.0107893163244967,0.1834762217270333,94.44609865820114,kimchi,4.6016,True
churro,0.3234748223106578,0.0363340634140795,0.28714075889657825,88.767576049803,ca_phe_sua_da,9.9583,True
churros_spanish,0.3234748223106578,0.0347126588909858,0.288762163419672,89.2688220236045,guacamole,8.706,True
clam_chowder,0.1957745939328879,0.0347126588909858,0.1610619350419021,82.2690686295662,guacamole,8.706,True
club_sandwich,0.0745333152011155,0.0108332800613693,0.0637000351397462,85.4651842171014,papaya_salad,5.653,True
coleslaw,0.013196413963922,0.0107893163244967,0.0024070976394252996,18.240543574990316,kimchi,4.6016,True
com_tam,0.2925279261245002,0.0347126588909858,0.2578152672335144,88.13355724669786,guacamole,8.706,True
congee,0.1429436030199488,0.0107893163244967,0.1321542866954521,92.45204675371798,kimchi,4.6016,True
coq_au_vin,0.433244547442996,0.0347126588909858,0.3985318885520102,91.98774477466375,guacamole,8.706,True
cornbread,0.2367189718162237,0.0107893163244967,0.225929655491727,95.44214126915313,kimchi,4.6016,True
creme_brulee,0.2801526093771747,0.0363340634140795,0.24381854596309518,87.03061752847631,ca_phe_sua_da,9.9583,True
crepe,0.1703383946222554,0.0347126588909858,0.1356257357312696,79.6213537365049,guacamole,8.706,True
croissant,0.2528773599570321,0.0347126588909858,0.2181647010660463,86.27292736017014,guacamole,8.706,True
dal,0.1513163041255206,0.0347126588909858,0.11660364523453481,77.05953823575365,guacamole,8.706,True
dan_dan_noodles,0.1768632843021446,0.0363340634140795,0.1405292208880651,79.45641258588857,ca_phe_sua_da,9.9583,True
dim_sum,0.1486246479702183,0.0108332800613693,0.137791367908849,92.710980170974,papaya_salad,5.653,True
