K_ghost,delta_H,H_contribution_pct,H_contribution_std
0,0.0,23.585999024476926,3.552713678800501e-15
50,0.0,39.15628908949201,1.870740881264863
50,0.5,40.40912115789066,1.737965792602518
50,1.0,41.49151816038932,1.7759225138670716
50,1.5,42.288766463284894,1.6965060845548063
50,2.0,43.214372997718876,1.673057862185206
50,2.5,43.90171941429877,1.6369416256434755
50,3.0,44.471062374010074,1.6557711106032231
100,0.0,45.751197042033134,2.0288379427910623
100,0.5,47.083941865009066,1.906980392352699
100,1.0,48.37173878015765,1.8658747753782436
100,1.5,49.54445038179851,1.8313144265479193
100,2.0,50.414880417607705,1.7526899334237986
100,2.5,50.95689433829661,1.8110579834706393
100,3.0,51.48403974035723,1.7625924435096385
200,0.0,50.756198186253826,2.0078248121695497
200,0.5,52.15205979993947,1.978519194497248
200,1.0,53.18674200587605,1.8993625601543782
200,1.5,54.27405206490333,1.9216811098772648
200,2.0,55.256520875189885,1.8460511001260553
200,2.5,55.77097909642385,1.7722040489328337
200,3.0,56.25406360201622,1.6923049112680884
334,0.0,52.84158027892518,1.9929185916026875
334,0.5,53.86858628624672,2.0597228144911015
334,1.0,54.773806606809465,1.8638070069518313
334,1.5,55.60181313742243,1.829216717875299
334,2.0,56.12764947695368,1.8195763175577235
334,2.5,56.609466342390384,1.7641571883204488
334,3.0,56.973338066282885,1.6629323874253845
500,0.0,53.07807106016111,1.873742970812089
500,0.5,53.67254106311596,1.9572681897120452
500,1.0,54.438923933895175,1.7844219967132893
500,1.5,55.131003646639904,1.7423056947288975
500,2.0,55.389611062983285,1.7525321737931359
500,2.5,55.70459403321454,1.6275619100507928
500,3.0,56.04186199896171,1.521166237721084
1000,0.0,51.379396708717564,1.7051519136570883
1000,0.5,51.63030100961965,1.8029159634699239
1000,1.0,51.44645712935023,1.6811401423827976
1000,1.5,51.35776684221439,1.6363629629661776
1000,2.0,51.038567328146,1.5160774094318425
1000,2.5,50.93768286361028,1.6094146045153699
1000,3.0,50.69488904668357,1.478365899468329
