dish_id,E_current,E_best_benchmark,E_reducible,E_reduction_pct,benchmark_dish,has_efficient_alternative
baba_ganoush,0.2283327510889237,0.0035871560812386,0.2247455950076851,98.42897873207791,som_tam,True
baklava,0.28131109410514,0.0035871560812386,0.2777239380239014,98.72484372056158,som_tam,True
banh_mi,0.2565416685710571,0.00285504702091,0.2536866215501471,98.8871020303202,rojak,True
beef_bourguignon,0.8163411367437777,0.00285504702091,0.8134860897228677,99.65026299761173,rojak,True
bibimbap,0.4103771234250521,0.00285504702091,0.4075220764041421,99.30428699409913,rojak,True
biryani,0.3345396378994281,0.00285504702091,0.3316845908785181,99.14657436743914,rojak,True
brisket,0.9792094431862688,0.00285504702091,0.9763543961653588,99.7084334673469,rojak,True
brownie,0.3645830754384144,0.00285504702091,0.3617280284175044,99.21690083461039,rojak,True
bruschetta,0.2200736836601747,0.00285504702091,0.21721863663926472,98.70268585801536,rojak,True
buffalo_wings,0.386292331318037,0.00285504702091,0.383437284297127,99.26091025126786,rojak,True
bulgogi,0.6615588732726678,0.00285504702091,0.6587038262517578,99.56843644061694,rojak,True
bun_bo_hue,0.4268114422342925,0.00285504702091,0.4239563952133825,99.33107533247836,rojak,True
bun_cha,0.2664993860833531,0.00285504702091,0.2636443390624431,98.92868532912229,rojak,True
burrito,0.276301431930006,0.00285504702091,0.273446384909096,98.96669119628983,rojak,True
butter_chicken,0.2453824918883798,0.00285504702091,0.2425274448674698,98.83649114533864,rojak,True
ca_phe_sua_da,0.0363340634140795,0.00285504702091,0.0334790163931695,92.14223031326667,rojak,True
caesar_salad,0.0525168062162769,0.00285504702091,0.049661759195366896,94.56355550420902,rojak,True
caprese,0.1118488797934876,0.00285504702091,0.1089938327725776,97.44740669179573,rojak,True
ceviche,0.039418546557507,0.00285504702091,0.036563499536596995,92.75709717824114,rojak,True
chana_masala,0.1795333304373007,0.00285504702091,0.1766782834163907,98.40973984387425,rojak,True
char_siu,0.3230840935392318,0.00285504702091,0.3202290465183218,99.11631458248708,rojak,True
cheesecake,0.4162269009143125,0.00285504702091,0.41337185389340253,99.31406475298968,rojak,True
chicken_salad,0.0681619356522414,0.00285504702091,0.06530688863133141,95.81137625627844,rojak,True
chicken_sandwich,0.2305453291832126,0.00285504702091,0.2276902821623026,98.76161142321772,rojak,True
chile_relleno,0.3181617528849141,0.00285504702091,0.3153067058640041,99.10264291825715,rojak,True
chow_fun,0.372484261208624,0.00285504702091,0.369629214187714,99.23351203842921,rojak,True
chow_mein,0.19426553805153,0.00285504702091,0.19141049103062,98.5303378820835,rojak,True
churro,0.3234748223106578,0.00285504702091,0.3206197752897478,99.11738199575605,rojak,True
churros_spanish,0.3234748223106578,0.00285504702091,0.3206197752897478,99.11738199575605,rojak,True
clam_chowder,0.1957745939328879,0.00285504702091,0.1929195469119779,98.54166622769822,rojak,True
club_sandwich,0.0745333152011155,0.00285504702091,0.0716782681802055,96.16943508657016,rojak,True
coleslaw,0.013196413963922,0.00285504702091,0.010341366943012,78.36497832884385,rojak,True
com_tam,0.2925279261245002,0.00285504702091,0.2896728791035902,99.02400873012893,rojak,True
congee,0.1429436030199488,0.00285504702091,0.1400885559990388,98.00267590812612,rojak,True
coq_au_vin,0.433244547442996,0.00285504702091,0.430389500422086,99.34100797395826,rojak,True
cornbread,0.2367189718162237,0.00285504702091,0.2338639247953137,98.79390865928292,rojak,True
creme_brulee,0.2801526093771747,0.00285504702091,0.2772975623562647,98.98089579559611,rojak,True
crepe,0.1703383946222554,0.00285504702091,0.1674833476013454,98.32389695391848,rojak,True
croissant,0.2528773599570321,0.00285504702091,0.2500223129361221,98.87097562969058,rojak,True
dal,0.1513163041255206,0.00285504702091,0.1484612571046106,98.11319273398215,rojak,True
dan_dan_noodles,0.1768632843021446,0.00285504702091,0.1740082372812346,98.3857322156064,rojak,True
dim_sum,0.1486246479702183,0.00285504702091,0.1457696009493083,98.07902184469287,rojak,True
dolma,0.1463439103506557,0.00285504702091,0.1434888633297457,98.0490838231198,rojak,True
donburi,0.2347841626076021,0.00285504702091,0.2319291155866921,98.78396950237156,rojak,True
dosa,0.1613769949862088,0.00285504702091,0.1585219479652988,98.23082154853981,rojak,True
dumplings,0.1552253181381092,0.00285504702091,0.1523702711171992,98.16070789536423,rojak,True
edamame,0.122958281541028,0.00285504702091,0.12010323452011801,97.6780360093457,rojak,True
elote,0.1805572994317562,0.00285504702091,0.1777022524108462,98.41875846066856,rojak,True
enchilada,0.2953211986902908,0.00285504702091,0.2924661516693808,99.0332400675699,rojak,True
escargot,0.22905787543792,0.00285504702091,0.22620282841701,98.75356958783817,rojak,True
fajita,0.2319769200463485,0.00285504702091,0.22912187302543852,98.76925384631386,rojak,True
falafel,0.3067878357769481,0.00285504702091,0.30393278875603813,99.06937411202125,rojak,True
fish_and_chips,0.3253698736066217,0.00285504702091,0.3225148265857117,99.12252262655338,rojak,True
french_fries,0.247277363637544,0.00285504702091,0.244422316616634,98.84540704457893,rojak,True
french_onion_soup,0.2794902450794066,0.00285504702091,0.2766351980584966,98.97848061920772,rojak,True
fresh_spring_roll,0.0531295222848464,0.00285504702091,0.0502744752639364,94.62625128529658,rojak,True
fried_chicken,0.393529317972158,0.00285504702091,0.390674270951248,99.27450207887382,rojak,True
fried_rice,0.2050187887838639,0.00285504702091,0.2021637417629539,98.60742176956285,rojak,True
gazpacho,0.0402863263051759,0.00285504702091,0.0374312792842659,92.91311151261962,rojak,True
gelato,0.0648149325917145,0.0108332800613693,0.0539816525303452,83.28582684855843,papaya_salad,True
