dish_id,cuisine,H_mean,E_composite,log_DEI,NDI,log_NDI,log_DEI_N,calorie_kcal,protein_g,meal_role,rank_DEI,rank_DEI_N,rank_shift_N,is_pareto_3d
hummus,Mediterranean,7.347,0.0956000970923752,4.341873509952818,5.978190321219054,1.7881179002935788,5.235932460099607,849.2000000000002,35.415,Heavy Main,37.0,36.0,-1,False
cobb_salad,American,7.0837995507717135,0.0988467138988748,4.271995396696213,6.817678637419492,1.9195190381694562,5.231754915780941,524.8,43.43,Full Main,38.0,37.0,-1,False
gelato,Italian,7.564,0.0648149325917145,4.759619411737459,2.511807887336124,0.9210027677100748,5.220120795592496,520.6,8.73,Full Main,26.0,38.0,12,False
aloo_gobi,Indian,7.3358586823940275,0.1261275381026411,4.063236147994008,9.512193731040037,2.2525745261953776,5.189523411091697,275.81,5.971,Light Main,46.0,39.0,-7,False
caprese,Italian,7.136,0.1118488797934876,4.155759001631012,7.866406619014502,2.062601365912127,5.187059684587075,455.35,23.640000000000004,Full Main,42.0,40.0,-2,False
edamame,Japanese,7.174,0.122958281541028,4.066373534715665,7.978708287228466,2.076776529591192,5.104761799511261,669.0,54.75,Full Main,45.0,41.0,-4,False
fufu,African,7.155579532186191,0.0927179836270745,4.3460852336308005,4.472968891573543,1.4980523697145982,5.0951114184881,215.0,4.0,Light Main,36.0,42.0,6,False
hot_and_sour_soup,Chinese,6.726,0.1340866392818403,3.915249739475556,10.534350614607437,2.354641404597615,5.092570441774363,186.89999999999998,13.329999999999998,Side/Snack,62.0,43.0,-19,False
sundubu_jjigae,Korean,7.119,0.1660415503417002,3.7582844848047112,12.838609134837954,2.5524569695625385,5.034512969585981,274.45,24.75,Light Main,90.0,44.0,-46,False
ratatouille,French,7.242,0.1346233349410699,3.985171923051277,8.153898824734528,2.0984961962669204,5.034420021184737,263.85,3.84,Light Main,51.0,45.0,-6,False
idli,Indian,6.451770156934327,0.1159702392454211,4.018776215112255,7.0658263305322135,1.9552699704481251,4.9964112003363175,306.0,15.400000000000002,Light Main,48.0,46.0,-2,False
shakshuka,African,7.483388636350631,0.1566349541233384,3.866523029576324,9.514213169950876,2.2527868036820236,4.992916431417336,347.7,15.644000000000002,Light Main,73.0,47.0,-26,True
ackee_saltfish,Caribbean,7.339952403465204,0.1479771222253908,3.904029954788718,8.44594462551326,2.1336864001929894,4.970873154885213,299.04999999999995,25.31,Light Main,64.0,48.0,-16,False
pav_bhaji,Indian,6.895566212634246,0.1166340260317642,4.079592856364699,5.136402059478983,1.6363528459325727,4.897769279330985,405.6,8.56,Full Main,44.0,49.0,5,False
caldo_verde,Portuguese,7.261496123145608,0.1354072417849046,3.982054320729194,6.194406524036606,1.823646711305082,4.893877676381735,409.55,13.240000000000002,Full Main,52.0,50.0,-2,False
kimbap,Korean,7.307,0.1364470620417334,3.980651356259415,5.83820041583517,1.7644226013793636,4.862862656949097,372.9,16.53,Light Main,53.0,51.0,-2,False
dal,Indian,6.929,0.1513163041255206,3.824098406390801,7.951044084503426,2.073303251427108,4.860750032104355,486.74,27.102,Full Main,82.0,52.0,-30,False
kimchi_jjigae,Korean,6.817,0.1738305685587496,3.66909369046008,10.041783192225672,2.3067547072804273,4.822471044100293,367.24999999999994,31.279999999999998,Light Main,108.0,53.0,-55,False
soup,Other,6.733,0.1268497208512982,3.971773003122844,5.348555646949937,1.6768265519260486,4.810186279085869,224.2,13.89,Light Main,54.0,54.0,0,False
couscous,African,7.368318971157074,0.1117052975911571,4.189080736506566,3.4257204197529236,1.2313117911292102,4.804736632071171,787.6,24.049999999999997,Heavy Main,40.0,55.0,15,False
budae_jjigae,Korean,7.262259967085244,0.1505586489631374,3.8760936472250895,6.321184922444453,1.843906678313691,4.7980469863819355,452.54999999999995,23.869999999999997,Full Main,69.0,56.0,-13,False
