from_dish,to_dish,meal_role,E_reduction_pct,H_change,cal_from,cal_to,protein_from,protein_to
fish_and_chips,lagman,Heavy Main,27.91756998564847,2.943,1036.9,958.75,47.580000000000005,41.05
gyudon,poutine,Full Main,27.899900125847488,-2.9635000000000002,557.3000000000001,503.35,32.725,19.135
eggs_benedict,char_siu_bao,Full Main,27.899816766839177,2.6243999999999996,663.25,524.6,33.035000000000004,24.91
al_pastor,okonomiyaki,Full Main,27.89739629976952,-3.6864,657.6,640.1999999999999,59.57,32.66
brisket,meatloaf,Full Main,27.888690001871986,-4.4952,649.47,681.1,65.85799999999999,59.97
manti_turkish,nasi_goreng,Full Main,27.886568461295113,0.9020000000000001,592.95,600.6,32.305,27.975
coxinha,lagman,Heavy Main,27.88611309779789,1.5788000000000002,883.4,958.75,34.31,41.05
pretzel,gnocchi,Full Main,27.884832879404147,3.2430000000000003,527.85,601.2499999999999,12.09,21.075
pho,kunefe,Heavy Main,27.88148249736991,0.06550000000000011,830.05,872.0000000000001,33.29,26.27
sinigang,xiao_long_bao,Full Main,27.879213553128444,0.7642999999999995,400.7,447.82,43.18999999999999,28.46
paneer_butter,tonkotsu_ramen,Heavy Main,27.876825829198502,0.10549999999999926,983.85,769.9000000000001,39.690000000000005,44.855
nachos,chow_mein,Heavy Main,27.874708096611506,-7.1233,709.6999999999999,856.5500000000001,33.135000000000005,41.04500000000001
hot_dog,injera,Full Main,27.87000446361195,0.0,415.7,546.0,20.275,15.0
nachos,ramen,Heavy Main,27.86322426603539,-6.111000000000001,709.6999999999999,784.5500000000001,33.135000000000005,45.43
bratwurst,bun_rieu,Full Main,27.854430092168485,1.4045999999999994,655.0,632.6999999999999,33.629999999999995,20.0
manti_turkish,bratwurst,Full Main,27.85276187096249,-3.0999,592.95,655.0,32.305,33.629999999999995
pho,paneer_tikka,Heavy Main,27.84423812895387,0.3487999999999989,830.05,773.09,33.29,43.622
japchae,warak_enab,Light Main,27.83664441210054,-0.7052000000000005,379.2000000000001,383.3,19.885,17.849999999999998
simit,budae_jjigae,Full Main,27.821815650023566,0.24660000000000082,469.3,452.55,12.685,23.87
manakish,pancake,Full Main,27.821775945878247,-2.2152000000000003,617.5,569.95,17.5,17.735000000000003
mofongo,manty,Full Main,27.82158793435256,-3.3193,514.9,672.9000000000001,19.22,33.83
nasi_goreng,bun_rieu,Full Main,27.820608435451472,-2.5973000000000006,600.6,632.6999999999999,27.975,20.0
gyro,com_tam,Full Main,27.80878050183924,2.0998,637.1,617.7,47.26,44.03
chili,orange_chicken,Heavy Main,27.80307421350146,0.2336999999999998,732.6,942.65,59.77,55.20000000000001
borscht,sundubu_jjigae,Light Main,27.79707826927328,-0.13199999999999967,288.9,274.45,16.46,24.75
massaman_curry,katsu_curry,Heavy Main,27.790469303204883,-3.521399999999999,1186.2,1084.9,54.85,54.53
clam_chowder,penne_arrabbiata,Full Main,27.777241635475274,-0.5291000000000006,595.75,636.49,28.985000000000003,18.236
tahdig,caldo_verde,Full Main,27.774571202329884,-3.712399999999999,424.2000000000001,409.55,8.694,13.240000000000002
gnocchi,tiramisu,Full Main,27.773892257603155,-0.9625000000000004,601.2499999999999,625.85,21.075,10.765
gambas_al_ajillo,pupusa,Full Main,27.766042110498596,0.6450000000000005,588.0500000000001,463.50000000000006,49.760000000000005,31.21
chicken_sandwich,nasi_lemak,Full Main,27.753738908762298,3.4571,569.9,595.9,43.75000000000001,24.1
enchilada,jollof_rice,Full Main,27.75010868853127,3.026300000000001,657.6,655.0500000000001,47.68,31.370000000000005
ribs,pernil,Heavy Main,27.745994121553245,-2.8559,814.0,890.75,83.08999999999999,83.07999999999998
vindaloo,wonton_noodle,Heavy Main,27.706266567849774,0.872300000000001,718.89,704.6000000000001,58.352,40.14
mujaddara,spaetzle,Full Main,27.70337068874448,-1.7724999999999995,682.8,575.65,28.76,18.685
gambas_al_ajillo,clam_chowder,Full Main,27.700815905501276,1.0654000000000003,588.0500000000001,595.75,49.760000000000005,28.985000000000003
crepe,char_siu_bao,Full Main,27.69404519100644,0.17099999999999937,497.15,524.6,15.735,24.91
sweet_and_sour,bun_cha,Heavy Main,27.690267502902127,1.2373000000000003,982.3,896.3000000000001,48.7,39.245
bun_cha,mafe,Heavy Main,27.69022771797138,0.17520000000000024,896.3000000000001,802.3000000000001,39.245,53.45
chow_fun,nachos,Heavy Main,27.689684824476263,2.6984000000000004,900.95,709.6999999999999,27.855,33.135000000000005
com_tam,cubano_sandwich,Full Main,27.682014998287798,-2.4993,617.7,580.9,44.03,42.41
lomo_saltado,buffalo_wings,Heavy Main,27.676666738097662,-4.2731,712.3000000000001,877.2,44.23,62.02
borek,mee_goreng,Heavy Main,27.675875515420294,-1.0004999999999997,728.5,875.5500000000001,28.12,41.155
ribs,fried_chicken,Heavy Main,27.67503503772938,-4.6065000000000005,814.0,1048.02,83.08999999999999,67.738
pizza,char_kway_teow,Heavy Main,27.67280969965601,1.4553000000000003,996.0,1044.95,38.18000000000001,28.885
souvlaki,roti_caribbean,Heavy Main,27.672447486467107,-6.3071,705.0999999999999,870.0,55.07,43.31
coxinha,tikka_masala,Heavy Main,27.668655322826506,2.1460999999999997,883.4,723.7900000000001,34.31,57.232000000000006
lumpia,fried_rice,Full Main,27.665141799055082,-0.6501999999999999,574.1999999999999,546.3000000000001,21.08,15.32
donburi,gozleme,Full Main,27.66425682215809,5.8831,568.8000000000001,616.4000000000001,41.505,21.76
shashlik,enchilada,Full Main,27.65846335763134,-2.2152000000000003,613.3299999999999,657.6,51.352,47.68
sfeeha,nasi_padang,Full Main,27.64800380611626,0.0,605.3,624.1500000000001,30.01,38.000000000000014
duck_confit,chole_bhature,Heavy Main,27.628511339815486,1.0838999999999999,849.95,1006.6,48.32,33.57
chilaquiles,char_siu_bao,Full Main,27.62429607594829,4.8975,490.8,524.6,22.8,24.91
hamburger,doner_kebab,Full Main,27.622445122490024,3.5305,649.15,627.4499999999999,51.365,46.05
mofongo,pita,Full Main,27.61959565424279,-3.3686999999999996,514.9,548.61,19.22,14.0
satay,chilaquiles,Full Main,27.6186723964856,-3.6446000000000005,544.34,490.8,45.294,22.8
shawarma,bak_kut_teh,Full Main,27.602855941066483,-3.4973,551.8,516.75,57.934000000000005,56.290000000000006
lahmacun,salt_pepper_squid,Full Main,27.598727895544805,-2.0466999999999995,515.9499999999999,668.4300000000001,29.76,35.512
chili,general_tso,Heavy Main,27.582545046540663,3.6074,732.6,946.6,59.77,56.38500000000001
pho,conch_fritters,Heavy Main,27.57997278312539,-2.6806,830.05,701.7,33.29,29.2
taco,shawarma,Full Main,27.57408348035676,1.2542,528.6,551.8,36.815000000000005,57.934000000000005
sfeeha,quesadilla,Full Main,27.56719186414199,-0.5351999999999997,605.3,677.4000000000001,30.01,41.505
