meal_role,n,H_cv_pct,E_cv_pct,H_pct_var,E_pct_var
Full Main,793,11.171040162082535,48.276535982964795,7.532851413596198,92.46714858640381
Heavy Main,1396,9.809199393860796,41.07943743325337,4.279941680202368,95.72005831979763
Light Main,301,13.545678273885073,41.677575495484895,9.363231050971182,90.63676894902882
Side/Snack,73,10.18830770238618,55.85562147600206,2.4184240336212994,97.5815759663787
