dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr
ackee_saltfish,7.339952403465204,7.9937005043029785,1.3979683508716894,113,7.6224188804626465,8.031105041503906,0.257759208196941,0.40868616104125977
adobo,7.153592399120331,7.935737371444702,1.5532735963824083,500,7.065959334373474,8.025099039077759,0.13615043368733212,0.9591397047042847
aji_de_gallina,7.522912708681021,7.966932773590088,1.0825573293209738,201,7.637361526489258,8.036707878112793,0.14966110496581975,0.39934635162353516
al_pastor,7.392412082433701,7.97294020652771,1.347750218101606,500,7.628683567047119,8.027307033538818,0.11813551529112204,0.3986234664916992
aloo_gobi,7.3358586823940275,7.976035118103027,1.488031417427725,500,7.638302326202393,8.028378963470459,0.1304317045593313,0.3900766372680664
anticucho,7.339257034095558,7.973073482513428,1.3487232078104392,185,7.334596157073975,8.026643753051758,0.19435380061374202,0.6920475959777832
arancini,7.457803727626801,7.984033107757568,1.2442869028233539,500,7.682353854179382,8.0335111618042,0.10906655585044721,0.3511573076248169
arepa,7.62740522146225,7.981897354125977,1.054365377037033,500,7.840365648269653,8.033949851989746,0.09241920012213845,0.19358420372009277
arroz_con_pollo,7.272643348455429,7.965729475021362,1.5104747274128243,500,7.537439584732056,8.030098676681519,0.13239894741658917,0.4926590919494629
asado,7.520690446615219,7.9753098487854,1.2306844301405866,500,7.770249247550964,8.031664371490479,0.10787424655008175,0.26141512393951416
bacalhau,7.5148088194660305,7.9540228843688965,1.1534979400930347,194,7.724915981292725,8.038109540939331,0.16231999837955563,0.31319355964660645
bak_kut_teh,6.878615935643514,7.9184510707855225,1.8567248454189538,12,6.4582377672195435,8.047260999679565,1.0505409775274253,1.589023232460022
bandeja_paisa,7.478563784340681,7.973608493804932,1.3029952605851738,295,7.818055152893066,8.031216621398926,0.1486921014761494,0.21316146850585938
banh_xeo,7.15713390524202,7.886968612670898,1.4714938691123265,373,7.031981468200684,8.020880699157715,0.1493344863282137,0.9888992309570312
beef_tartare,7.6014783098697665,7.994604587554932,1.1265310113638056,500,7.830443620681763,8.031233549118042,0.09874479687070545,0.2007899284362793
