dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method_h,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method_e,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite,DEI,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,DEI_equal,log_DEI_equal,DEI_carbon_first,log_DEI_carbon_first,DEI_water_first,log_DEI_water_first,DEI_energy_first,log_DEI_energy_first,DEI_tier
char_siu,7.017,7.889,1.689,500,7.002,8.007,0.148,1.005,Chinese,roast,1.941,1.5515,0.38,1316.9,1315.9,0.8,3.569,roast,6,260,,0.1226193824713929,0.3086328981463025,0.538,0.3230840935392318,0.2729679157722721,0.3194712946909995,0.3768130701544239,0.3230840935392318,21.71880368089967,1.9483357762701516,-1.1298426381304052,3.078178414400557,-0.15632520644324602,0.4579851123000661,-0.6143103187433121,21.71880368089967,3.078178414400557,25.706317829140207,3.2467367916175833,21.964414695808635,3.0894236299435707,18.62196552026267,2.9243418259053215,D
cheesecake,7.268,7.947,1.476,500,7.409,8.025,0.129,0.616,Other,bake,5.2365,4.847,0.38,1604.2,1603.2,0.8,17.482,bake,6,430,,0.3311819983379147,0.3794987044050229,0.538,0.4162269009143125,0.3949656752702131,0.4070448517869902,0.4466701756857344,0.4162269009143125,17.461629664095746,1.9834811505339247,-0.8765247325262424,2.8600058830601673,0.7649922310848083,1.0386463796679914,-0.27365414858318315,17.461629664095746,2.8600058830601673,18.40159906307718,2.9124375664408877,17.85552616153318,2.88231304919431,16.271513961822194,2.7894159692572345,E
chicken_salad,6.953,7.944,1.832,500,6.94,8.019,0.161,1.079,Other,raw,0.9585,0.949,0.0,609.1,608.1,0.0,1.598,cold,6,290,,0.060439813335038,0.1340459936216862,0.01,0.0681619356522414,0.0662314050729405,0.0846329501446026,0.053621451739181,0.0681619356522414,102.00707966208353,1.9391732211168808,-2.6858689982105344,4.625042219327415,-0.39124280007589807,-1.1312242689755523,0.7399814688996542,102.00707966208353,4.625042219327415,104.98040910264062,4.653773752774463,82.15476345938795,4.408604827700428,129.6682535530732,4.864979293073959,A
chicken_sandwich,6.743,7.887,1.944,500,6.194,8.01,0.17,1.816,American,deep_fry,1.5495,1.255,0.285,827.0,826.0,0.6,2.173,grill,5,295,,0.0978424854567538,0.1877935020928841,0.406,0.2305453291832126,0.1973696182515979,0.2198573724106305,0.2744089968874095,0.2305453291832126,29.248044295191033,1.908504929752445,-1.4673077799872065,3.3758127097396518,-1.1620661541830366,-0.11891049248072444,-1.043155661702312,29.248044295191033,3.3758127097396518,34.16432609908749,3.531182003146867,30.669883507049338,3.4232811798486287,24.572809479591026,3.2016405259297906,C
chile_relleno,6.786,7.874,1.927,500,6.337,8.006,0.169,1.669,Mexican,deep_fry,2.3685,1.884,0.475,612.2,611.2,1.0,5.922,deep_fry,6,310,,0.1496746148437,0.1348106438110424,0.67,0.3181617528849141,0.2760399683746106,0.2723239756164463,0.4061213146636856,0.3181617528849141,21.32877361426482,1.9148616663620384,-1.1451953686532155,3.060057035015254,-1.0042308959611015,0.42729876470864225,-1.4315296606697436,21.32877361426482,3.060057035015254,24.583396527530386,3.202071277159921,24.91884889914253,3.215624501004163,16.709292900865286,2.815965025785285,D
chow_fun,7.171,7.886,1.477,500,7.154,8.015,0.13,0.861,Chinese,stir_fry,5.834,5.587,0.2375,1721.6,1720.6,0.5,26.723,stir_fry,6,320,,0.368996036565876,0.4084567470599959,0.34,0.372484261208624,0.371612205047937,0.381477382671467,0.364363195906468,0.372484261208624,19.25182013525025,1.9700451149004379,-0.9875604938440837,2.9576056087445215,0.4089452532353221,0.7659505341665703,-0.3570052809312482,19.25182013525025,2.9576056087445215,19.29699806031656,2.9599495428968567,18.79796896419349,2.9337488301803347,19.6809120146174,2.9796492327565094,E
chow_mein,6.051,7.511,2.31,500,3.726,7.997,0.202,4.271,Chinese,stir_fry,1.207,0.96,0.2375,741.2,740.2,0.5,1.758,stir_fry,7,350,,0.0761666560122738,0.1666299581423161,0.34,0.19426553805153,0.1647408175417159,0.1873566430742265,0.2306991535386475,0.19426553805153,31.14808761600804,1.8002235476401844,-1.6385293029641408,3.4387528506043252,-3.702112635336085,-0.34508221837184755,-3.3570304169642378,31.14808761600804,3.4387528506043252,36.73042352401679,3.603605390503371,32.296693091382565,3.474964843915564,26.228964897291295,3.266864330549269,C
churro,7.396,7.971,1.387,500,7.719,8.026,0.122,0.306,Mexican,deep_fry,1.554,1.0695,0.475,885.8,884.8,1.0,2.956,deep_fry,6,215,,0.0981272773764623,0.2022971895555112,0.67,0.3234748223106578,0.267137936077109,0.2931804141218712,0.4101061167329934,0.3234748223106578,22.864221540237995,2.0009393135248783,-1.1286339970942594,3.1295733106191377,1.2348274183501122,0.46042095324159676,0.7744064651085154,22.864221540237995,3.1295733106191377,27.686071505265932,3.320929452985098,25.22678747880335,3.22790642512866,18.034356714594658,2.8922786449971323,D
churros_spanish,7.323,7.853,1.029,20,7.003,8.033,0.451,1.03,Spanish,deep_fry,1.554,1.0695,0.475,885.8,884.8,1.0,2.956,deep_fry,6,215,,0.0981272773764623,0.2022971895555112,0.67,0.3234748223106578,0.267137936077109,0.2931804141218712,0.4101061167329934,0.3234748223106578,22.638547098318398,1.9910200800789328,-1.1286339970942594,3.119654077173192,0.9668745381128706,0.46042095324159676,0.5064535848712739,22.638547098318398,3.119654077173192,27.41280443929995,3.3110102195391526,24.97779403830137,3.217987191682715,17.856354004999552,2.882359411551187,D
clam_chowder,6.858,7.917,1.894,500,6.593,8.009,0.166,1.416,American,simmer,2.291,2.0915,0.19,749.0,748.0,0.4,3.014,simmer,7,335,,0.1447698651153871,0.1685539166832768,0.274,0.1957745939328879,0.1830234117285127,0.1889694246204852,0.215330945449666,0.1957745939328879,35.03008159654741,1.9254158540407285,-1.6307913124993088,3.5562071665400374,-0.7399486031243679,-0.33567461809338806,-0.4042739850309799,35.03008159654741,3.5562071665400374,37.470616109882144,3.6235570554214735,36.29158533859747,3.5915859055449157,31.84865039104688,3.4609950072128965,C
club_sandwich,6.95,7.91,1.802,500,6.918,8.018,0.158,1.1,American,raw,1.1245,1.115,0.0,644.0,643.0,0.0,1.645,cold,6,245,,0.0709454708176181,0.1426544747857284,0.01,0.0745333152011155,0.0736363541052411,0.0915636050972687,0.0583999864008366,0.0745333152011155,93.24689209444936,1.9387416595767009,-2.596509069645958,4.535250729222659,-0.402254562277429,-1.0915044728045695,0.6892499105271406,93.24689209444936,4.535250729222659,94.38272826581091,4.54735809312573,75.90352075605765,4.329463070098579,119.00687702729395,4.7791812815870705,A
coleslaw,6.704,7.815,1.925,500,5.855,8.004,0.169,2.149,American,raw,0.2035,0.194,0.0,134.3,133.3,0.0,0.2125,raw,5,235,,0.0126580579172792,0.0169311839744867,0.01,0.013196413963922,0.0130618249522613,0.0141301064665631,0.0123973104729415,0.013196413963922,508.0168004980921,1.902704363179782,-4.327810155698477,6.230514518878259,-1.305219062802936,-1.4738846459228931,0.16866558311995705,508.0168004980921,6.230514518878259,513.251404340661,6.240765792068045,474.44794672029315,6.162151910705257,540.7624512294195,6.292980090419986,A
com_tam,6.941,7.793,1.676,500,6.656,8.016,0.147,1.36,Vietnamese,grill,2.3265,2.032,0.285,1381.5,1380.5,0.6,2.925,grill,6,410,,0.1470165569264207,0.3245672214470799,0.406,0.2925279261245002,0.2561500838249804,0.3005377499551451,0.3208959445933751,0.2925279261245002,23.727649158001768,1.9374458563574466,-1.2291951429376562,3.166640999295103,-0.43528984888202193,0.2674950100907202,-0.7027848589727421,23.727649158001768,3.166640999295103,27.097394997311714,3.299437597704844,23.09526840151008,3.1396277654435325,21.630064564372486,3.0740842249060734,D
congee,6.984,7.816,1.648,500,6.823,8.002,0.144,1.179,Chinese,boil,0.9255,0.726,0.19,456.8,455.8,0.4,0.8825,simmer,5,148,,0.0583513392571757,0.0964794698026709,0.274,0.1429436030199488,0.1217955370792556,0.1313275697156294,0.1757077022649616,0.1429436030199488,48.85842984540786,1.943621818537301,-1.9453051109881232,3.8889269295254243,-0.27745459066008343,-0.6650281237943318,0.3875735331342484,48.85842984540786,3.8889269295254243,57.342002568249484,4.049033384300375,53.17999880088262,3.9736823632665965,39.74783068683211,3.6825552656949574,B
coq_au_vin,7.166,7.938,1.567,409,7.174,8.02,0.152,0.846,French,braise,2.7775,2.198,0.57,1371.8,1370.8,1.2,4.201,braise,7,400,,0.1755590359905389,0.3221746063384492,0.802,0.433244547442996,0.3688231695798817,0.4054770621668593,0.525433410582247,0.433244547442996,16.5403120299924,1.969347618882762,-0.836452935709711,2.805800554592473,0.3905923162327715,1.1447360336030776,-0.754143717370306,16.5403120299924,2.805800554592473,19.429365048195404,2.9667855839153603,17.67300956977708,2.872038592698889,13.638264822290537,2.612879431881084,E
cornbread,6.978,7.896,1.741,500,6.858,8.017,0.153,1.159,American,bake,1.1525,0.763,0.38,468.8,467.8,0.8,1.9305,bake,6,245,,0.0727175094291376,0.0994394060195335,0.538,0.2367189718162237,0.1957186062194522,0.2023990803670512,0.3120392288621678,0.2367189718162237,29.47799217976224,1.9427623427645824,-1.4408816143592993,3.3836439571238817,-0.29947811506314537,-0.08042340736286759,-0.2190547077002778,29.47799217976224,3.3836439571238817,35.65322753308298,3.5738396766496807,34.47644123355393,3.5402762279847826,22.36257289009736,3.107388708308446,C
creme_brulee,7.324,7.965,1.428,500,7.544,8.024,0.125,0.48,French,bake,2.0055,1.616,0.38,778.2,777.2,0.8,4.216,bake,4,252,,0.1267013999872147,0.1757564281443093,0.538,0.2801526093771747,0.2417898070296847,0.2540535640689583,0.344614457032881,0.2801526093771747,26.142894104332836,1.9911566268122642,-1.272420790799783,3.2635774176120473,0.9705451255133788,0.19034608889013338,0.7801990366232454,26.142894104332836,3.2635774176120473,30.290772344678814,3.4108431230527554,28.828566238937043,3.3613667788471293,21.25273577626254,3.0564856294961875,D
crepe,7.239,7.948,1.545,500,7.521,8.018,0.135,0.497,French,pan_fry,1.1025,0.8555,0.2375,477.0,476.0,0.5,2.042,pan_fry,5,235,,0.0695531547657099,0.1014620291010564,0.34,0.1703383946222554,0.145142084658119,0.1531193032419556,0.2127537959666915,0.1703383946222554,42.49775874695367,1.9794830753110044,-1.7699682638630125,3.749451339174017,0.6585451964700132,-0.4942463440803215,1.1527915405503346,42.49775874695367,3.749451339174017,49.87526544800156,3.9095251974615595,47.276860896898796,3.856020977004052,34.02524484749184,3.5271027446172027,B
croissant,7.299,7.962,1.52,500,7.62,8.021,0.133,0.401,French,bake,1.4301,1.0406,0.38,594.1,593.1,0.8,3.102,bake,6,202,,0.0902860065204883,0.1303460733506079,0.538,0.2528773599570321,0.2122295215978961,0.222244538305426,0.3241580199677741,0.2528773599570321,28.863793900886254,1.9877373524694952,-1.3748506510334464,3.3625880035029416,0.8787804405006261,0.020309546698541164,0.858470893802085,28.863793900886254,3.3625880035029416,34.39201080530711,3.537824293374761,32.842201908103306,3.4917143319133412,22.516795977238584,3.1142615186041507,C
dal,6.929,7.938,1.873,500,6.882,8.014,0.164,1.132,Indian,simmer,0.4209,0.2214,0.19,688.1,687.1,0.4,0.945,simmer,8,185,,0.026416671993863,0.1535322403826988,0.274,0.1513163041255206,0.1200913960926062,0.1518702881898151,0.1819872280941404,0.1513163041255206,45.7914964289124,1.9357155026452442,-1.888382903745557,3.8240984063908012,-0.4793368976881425,-0.6128318955265242,0.13349499783838165,45.7914964289124,3.8240984063908012,57.69772211372106,4.055217694636351,45.62446073283135,3.820443992278423,38.07410043311221,3.639534272319909,B
dan_dan_noodles,7.243,7.904,1.449,500,7.262,8.015,0.127,0.753,Chinese,boil,1.0465,0.847,0.19,838.3,837.3,0.4,1.848,boil,7,265,,0.0660090775426708,0.1905807753637631,0.274,0.1768632843021446,0.1491497326122762,0.1802926570675493,0.2011474632266085,0.1768632843021446,40.95253590126944,1.980035485213189,-1.7323782499394325,3.712413735152621,0.6732275460720556,-0.4535695509093439,1.1267970969813996,40.95253590126944,3.712413735152621,48.56193754519573,3.882840045979882,40.17357177938924,3.693209361007572,36.0084083776895,3.583752477230738,B
dim_sum,6.977,7.865,1.7,500,6.759,8.022,0.149,1.264,Chinese,steam,1.358,1.206,0.1425,682.5,681.5,0.3,1.3165,steam,6,180,,0.0857230070958256,0.1521509368148295,0.208,0.1486246479702183,0.1328992377516202,0.1495062201813711,0.1634684859776638,0.1486246479702183,46.943761316077705,1.9426190249570996,-1.906331292551165,3.8489503175082644,-0.30314870246365355,-0.6296119402610859,0.32646323779743236,46.943761316077705,3.8489503175082644,52.498419991238386,3.9607830737397194,46.66695466941752,3.8430363054096697,42.68100948187244,3.7537540784938694,B
dolma,7.407,7.977,1.423,500,7.697,8.025,0.125,0.328,Mediterranean,simmer,0.7515,0.552,0.19,542.8,541.8,0.4,0.6965,simmer,7,195,,0.0473393850284472,0.11769234602352,0.274,0.1463439103506557,0.1215927790201036,0.1391810192688718,0.1782579327629918,0.1463439103506557,50.61365370278841,2.002425499031152,-1.9217958768865622,3.924221375917714,1.2752038797557248,-0.6438302791111905,1.9190341588669153,50.61365370278841,3.924221375917714,60.916446352257154,4.1095031933028245,53.218463544163704,3.9744053952373415,41.55214797564269,3.7269492161299422,B
donburi,6.081,6.892,1.998,500,4.35,7.938,0.175,3.588,Japanese,simmer,2.2265,2.027,0.19,1240.0,1239.0,0.4,2.3915,simmer,6,420,,0.1406878475995653,0.2896646402232409,0.274,0.2347841626076021,0.2112600838555929,0.2485042820115118,0.2445881219557015,0.2347841626076021,25.90038413350417,1.8051691561379728,-1.4490886438669626,3.254257800004935,-3.5919950133207785,-0.0924851950505546,-3.499509818270224,25.90038413350417,3.254257800004935,28.784424814280943,3.3598344357944097,24.470403289542922,3.1974643582972306,24.862204882955677,3.2133487741430526,D
dosa,6.872,7.918,1.898,500,6.688,8.019,0.166,1.331,Indian,pan_fry,0.6816,0.4346,0.2375,476.0,475.0,0.5,0.646,pan_fry,4,132,,0.0429156172089752,0.1012153677496511,0.34,0.1613769949862088,0.1317616505419004,0.1463365881770694,0.2060327462396566,0.1613769949862088,42.58351694172566,1.9274551846819543,-1.8240120674675226,3.751467252149477,-0.6885603795172245,-0.55011257590972,-0.13844780360750453,42.58351694172566,3.751467252149477,52.15478078589106,3.954215850991713,46.96023110559869,3.849301096836494,33.3539212839813,3.5071753451792524,B
dumplings,7.08,7.939,1.702,500,7.25,8.021,0.149,0.772,Chinese,steam,1.066,0.914,0.1425,837.7,836.7,0.3,2.1305,steam,6,250,,0.0672431758614076,0.19043277855292,0.208,0.1552253181381092,0.1332297825689338,0.1640271832418119,0.1684189886035819,0.1552253181381092,45.61111605325032,1.9572739077056285,-1.862877552204473,3.820151459910101,0.07492179978889459,-0.5884627242005166,0.6633845239894112,45.61111605325032,3.820151459910101,53.141271144361205,3.972953860714771,43.1635772807397,3.764997021124362,42.03801518286415,3.7385743323077154,B
