dish_id,H_pairwise,BT_strength,H_bert,rank_pw,rank_bt,rank_change
samosa,7.0585,0.3564,7.343,79.0,20.0,-59.0
sashimi,6.7171,0.0036,7.112,88.0,78.0,-10.0
satay,7.6778,0.9965,7.066,62.0,89.0,27.0
scallion_pancake,8.706,2.0591,6.964,30.0,109.0,79.0
shawarma,8.167,1.5021,7.158,46.0,68.5,22.5
souffle,6.1345,-0.5985,7.419,99.0,8.0,-91.0
soup,4.6016,-2.1827,6.733,134.0,142.0,8.0
spanakopita,5.4494,-1.3065,7.365,112.0,15.0,-97.0
spring_rolls,7.4323,0.7427,6.845,69.0,125.0,56.0
steak,6.0409,-0.6952,6.761,103.0,137.5,34.5
sundubu_jjigae,8.0445,1.3754,7.119,50.0,75.5,25.5
sushi,5.1287,-1.6379,6.974,122.0,104.5,-17.5
sweet_and_sour,5.0732,-1.6953,6.416,124.0,155.0,31.0
tabbouleh,7.1423,0.4431,7.356,76.0,17.0,-59.0
taco,7.0585,0.3564,7.05,80.0,93.0,13.0
takoyaki,6.7171,0.0036,7.144,86.0,70.0,-16.0
tamale,8.3312,1.6717,7.247,40.0,40.0,0.0
tandoori_chicken,5.2379,-1.5251,7.061,119.0,91.0,-28.0
tapas,7.4734,0.7852,7.397,68.0,10.0,-58.0
tempura,7.8001,1.1228,6.976,60.0,103.0,43.0
teriyaki,4.2749,-2.5203,6.712,137.0,144.5,7.5
thai_iced_tea,6.2269,-0.503,7.216,96.0,51.0,-45.0
tikka_masala,6.9741,0.2692,7.079,82.0,86.0,4.0
tiramisu,8.29,1.6292,7.448,42.0,5.0,-37.0
tom_kha,5.8981,-0.8428,7.207,104.0,54.0,-50.0
tom_yum,7.7593,1.0807,7.086,61.0,82.0,21.0
tteokbokki,5.8981,-0.8428,6.906,105.0,117.0,12.0
udon,6.3182,-0.4086,6.941,95.0,113.5,18.5
vindaloo,7.9222,1.2491,7.325,55.0,23.0,-32.0
waffle,5.2916,-1.4696,7.266,118.0,38.0,-80.0
wonton_soup,5.8499,-0.8927,6.753,106.0,139.0,33.0
xiao_long_bao,8.7482,2.1027,7.102,25.0,80.0,55.0
yakitori,3.314,-3.5134,6.842,150.0,126.0,-24.0
