dish_id,H_pairwise,BT_strength,H_bert,source
gozleme,6.9238,0.6103,7.8291,expanded
green_curry,4.6754,-1.0417,7.287,original
grilled_cheese,7.4912,1.0271,7.194,original
guacamole,8.4333,1.7193,6.93,original
gulab_jamun,6.5556,0.3397,7.2487,expanded
gyro,6.5518,0.337,7.158,original
gyudon,5.2167,-0.644,7.0105,expanded
halloumi,8.4884,1.7598,7.692,expanded
halo_halo,3.2587,-2.0826,7.4075,expanded
hamburger,3.8876,-1.6205,6.712,original
harissa,6.9238,0.6103,7.5812,expanded
horiatiki,6.1523,0.0434,7.3264,expanded
hot_and_sour_soup,4.1637,-1.4177,6.726,original
hot_dog,6.5556,0.3397,7.0579,expanded
hu_tieu,2.798,-2.4211,6.9639,expanded
hummus,7.6735,1.1611,7.347,original
ice_cream,6.2072,0.0838,7.338,original
idli,2.8199,-2.4049,6.4518,expanded
injera,6.5556,0.3397,7.2875,expanded
iskender_kebab,7.8508,1.2913,7.5031,expanded
jalebi,5.7087,-0.2825,7.2048,expanded
japchae,8.3452,1.6546,7.318,original
jerk_chicken,3.6628,-1.7857,6.7026,expanded
jjajangmyeon,7.4181,0.9734,7.2121,expanded
jokbal,4.6633,-1.0505,6.7188,expanded
jollof_rice,8.2292,1.5694,7.3086,expanded
karaage,4.0257,-1.519,7.2208,expanded
kare_kare,4.9488,-0.8408,7.3561,expanded
katsu,7.6735,1.1611,6.973,original
katsu_curry,5.2167,-0.644,7.273,expanded
kebab,7.1849,0.8021,7.286,original
keftedes,4.6633,-1.0505,7.4303,expanded
khao_man_gai,5.2167,-0.644,6.973,expanded
kibbeh,7.7129,1.19,7.6081,expanded
kimbap,8.3893,1.687,7.307,original
kimchi,3.7433,-1.7265,7.178,original
kimchi_jjigae,3.9581,-1.5687,6.817,original
kitfo,6.1523,0.0434,7.5087,expanded
kofte,4.9488,-0.8408,7.2882,expanded
koobideh,8.4548,1.7351,7.2432,expanded
korean_fried_chicken,4.6144,-1.0865,6.228,original
korma,8.4066,1.6997,7.243,original
kunefe,8.4548,1.7351,7.7086,expanded
kung_pao_chicken,4.6754,-1.0417,6.489,original
labneh,6.1523,0.0434,7.7099,expanded
lagman,5.9359,-0.1155,7.6892,expanded
lahmacun,7.9826,1.3882,7.7783,expanded
laksa,6.1523,0.0434,7.3046,expanded
larb,8.3075,1.6269,7.071,original
lasagna,6.4539,0.265,6.885,original
lo_mein,2.3516,-2.749,6.505,original
lobster_roll,8.8667,2.0378,7.177,original
lomo_saltado,7.7129,1.19,7.2693,expanded
loukoumades,7.0959,0.7367,7.7733,expanded
lumpia,3.8468,-1.6505,7.2598,expanded
mac_and_cheese,6.1067,0.0099,6.986,original
macarons,7.2606,0.8577,7.4965,expanded
mafe,5.7087,-0.2825,7.036,expanded
malai_kofta,8.1087,1.4808,7.1975,expanded
manakish,7.4181,0.9734,7.4129,expanded
mango_sticky_rice,8.5646,1.8158,7.382,original
manti_turkish,6.3586,0.195,7.6294,expanded
manty,4.6633,-1.0505,7.4271,expanded
mapo_tofu,7.5825,1.0942,6.879,original
massaman,5.2167,-0.644,7.3171,expanded
massaman_curry,8.7381,1.9433,7.313,original
meatloaf,4.0257,-1.519,7.2313,expanded
mee_goreng,3.6628,-1.7857,7.3103,expanded
minestrone,2.753,-2.4541,6.638,original
miso_soup,3.5943,-1.836,6.965,original
mofongo,7.9826,1.3882,7.1259,expanded
mole,5.2167,-0.644,7.2974,expanded
moussaka,7.9968,1.3986,7.124,original
muhammara,6.9238,0.6103,7.7094,expanded
mujaddara,4.0257,-1.519,7.5951,expanded
naan,3.2794,-2.0674,7.203,original
nachos,8.1233,1.4916,6.823,original
nasi_goreng,7.2606,0.8577,7.3769,expanded
nasi_lemak,5.4694,-0.4583,7.1132,expanded
nasi_padang,8.3445,1.6541,7.5521,expanded
nicoise_salad,5.2167,-0.644,7.3713,expanded
okonomiyaki,4.2962,-1.3203,7.216,original
okra_soup,7.8508,1.2913,6.8301,expanded
onigiri,6.1067,0.0099,7.085,original
orange_chicken,3.0317,-2.2493,6.438,original
osso_buco,8.6082,1.8478,7.166,original
oxtail_stew,6.5556,0.3397,7.3162,expanded
pad_see_ew,6.9342,0.6179,6.887,original
pad_thai,6.1571,0.0469,6.777,original
paella,8.2123,1.557,7.111,original
pajeon,6.1523,0.0434,7.2748,expanded
palak_paneer,7.4454,0.9935,7.231,original
pancake,5.2029,-0.6541,7.162,original
paneer_butter,8.4548,1.7351,7.0638,expanded
paneer_tikka,8.7381,1.9433,7.1,original
panna_cotta,7.8093,1.2608,7.57,original
pao_de_queijo,3.2587,-2.0826,7.0552,expanded
papaya_salad,5.6087,-0.356,7.193,original
pasta_bolognese,7.1684,0.79,7.058,original
pasta_carbonara,3.9581,-1.5687,7.116,original
pasteis_de_nata,5.2167,-0.644,7.3468,expanded
pastelitos,6.9238,0.6103,7.5647,expanded
pastitsio,4.0257,-1.519,7.1429,expanded
patatas_bravas,5.9025,-0.1401,7.31,original
pav_bhaji,4.0257,-1.519,6.8956,expanded
peking_duck,9.5503,2.54,7.07,original
penne_arrabbiata,7.4601,1.0043,7.216,original
pernil,5.7087,-0.2825,7.2536,expanded
pho,8.3893,1.687,6.974,original
picanha,7.0959,0.7367,7.4037,expanded
pide,4.9488,-0.8408,7.7344,expanded
pierogi,7.5688,1.0841,7.3984,expanded
piri_piri,5.4694,-0.4583,7.5041,expanded
pita,4.6139,-1.0869,7.042,original
pizza,5.6406,-0.3325,6.838,original
pizza_margherita,2.5585,-2.597,7.126,original
plantain,3.2587,-2.0826,7.3233,expanded
plov,3.6628,-1.7857,7.03,expanded
polenta,2.798,-2.4211,7.4648,expanded
pot_roast,3.2587,-2.0826,7.0053,expanded
poutine,2.2532,-2.8214,7.3804,expanded
pozole,4.3612,-1.2725,7.237,original
pretzel,5.7087,-0.2825,7.2801,expanded
profiterole,4.3571,-1.2755,7.482,expanded
prosciutto,8.4548,1.7351,7.3345,expanded
pulled_pork,8.4804,1.7539,6.972,original
pupusa,7.5688,1.0841,7.4362,expanded
quesadilla,7.8093,1.2608,6.777,original
quiche,6.3562,0.1932,7.306,original
raclette,5.2167,-0.644,7.603,expanded
raita,6.0561,-0.0273,6.859,original
ramen,2.0123,-2.9983,6.942,original
ratatouille,2.3516,-2.749,7.242,original
ravioli,6.7444,0.4784,7.222,original
red_curry,7.1218,0.7558,7.176,original
rendang,8.6612,1.8868,7.3914,expanded
ribs,8.5646,1.8158,7.004,original
rice_and_peas,7.4181,0.9734,7.0251,expanded
risotto,8.4772,1.7516,7.082,original
rojak,2.2532,-2.8214,7.0849,expanded
roti_caribbean,2.2532,-2.8214,6.949,expanded
saganaki,8.1087,1.4808,7.5151,expanded
salt_pepper_squid,5.9359,-0.1155,7.2281,expanded
samgyeopsal,4.5518,-1.1325,7.223,original
samosa,6.6002,0.3725,7.343,original
sancocho,7.5688,1.0841,7.5097,expanded
sardines_grilled,2.2532,-2.8214,6.8794,expanded
sashimi,6.2072,0.0838,7.112,original
satay,7.3074,0.8921,7.066,original
satay_indonesian,6.1523,0.0434,7.1925,expanded
scallion_pancake,8.4333,1.7193,6.964,original
schnitzel,7.4181,0.9734,7.3505,expanded
sfeeha,8.3445,1.6541,7.9096,expanded
shakshuka,8.6612,1.8868,7.4834,expanded
shashlik,7.4181,0.9734,7.5325,expanded
shawarma,7.8544,1.294,7.158,original
simit,7.9826,1.3882,7.8361,expanded
sinigang,7.7129,1.19,7.0812,expanded
sisig,8.4418,1.7256,7.2971,expanded
som_tam,8.4548,1.7351,7.1529,expanded
sopes,8.2292,1.5694,7.6013,expanded
souffle,5.7318,-0.2655,7.419,original
soup,3.7433,-1.7265,6.733,original
souvlaki,8.5603,1.8126,7.2506,expanded
spaetzle,2.2532,-2.8214,7.3799,expanded
spanakopita,4.7362,-0.997,7.365,original
spring_rolls,7.0283,0.687,6.845,original
steak,5.4249,-0.491,6.761,original
stroganoff,5.4694,-0.4583,7.2623,expanded
sundubu_jjigae,7.7188,1.1944,7.119,original
sushi,5.081,-0.7437,6.974,original
suya,8.5603,1.8126,7.4566,expanded
sweet_and_sour,4.2962,-1.3203,6.416,original
tabbouleh,6.6965,0.4433,7.356,original
taco,6.6002,0.3725,7.05,original
tagine,3.7665,-1.7095,7.4859,expanded
tahdig,8.6612,1.8868,7.2985,expanded
takoyaki,6.3849,0.2143,7.144,original
tamagoyaki,4.9488,-0.8408,6.8993,expanded
tamale,8.034,1.426,7.247,original
tandoori_chicken,4.489,-1.1786,7.061,original
tapas,7.0751,0.7214,7.397,original
tempura,7.4454,0.9935,6.976,original
teriyaki,3.3604,-2.0079,6.712,original
thai_iced_tea,5.6406,-0.3325,7.216,original
tikka_masala,6.5032,0.3013,7.079,original
tiramisu,7.9892,1.393,7.448,original
tiropita,7.4181,0.9734,7.7669,expanded
tom_kha,5.4627,-0.4632,7.207,original
tom_yum,7.7028,1.1826,7.086,original
tonkotsu_ramen,8.5603,1.8126,7.1532,expanded
tortilla_espanola,3.2587,-2.0826,7.1747,expanded
tostones,7.7129,1.19,7.2455,expanded
tteokbokki,5.2591,-0.6129,6.906,original
tzatziki,4.3571,-1.2755,7.1544,expanded
udon,5.7463,-0.2549,6.941,original
uttapam,6.5556,0.3397,7.271,expanded
vindaloo,7.5825,1.0942,7.325,original
waffle,4.5518,-1.1325,7.266,original
warak_enab,7.64,1.1365,7.3835,expanded
wonton_noodle,8.4548,1.7351,6.9994,expanded
wonton_soup,5.2029,-0.6541,6.753,original
xiao_long_bao,8.4772,1.7516,7.102,original
yakitori,2.2428,-2.829,6.842,original
