dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method_h,H_bert,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method_e,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite,DEI,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,DEI_equal,log_DEI_equal,DEI_carbon_first,log_DEI_carbon_first,DEI_water_first,log_DEI_water_first,DEI_energy_first,log_DEI_energy_first,DEI_tier
baba_ganoush,7.6778,7.984,1.228,500,7.714,8.021,0.108,0.308,Mediterranean,grill,7.495,0.6891,0.2996,0.38,485.7,484.7,0.8,0.5635,roast,6,257,,0.0433902704084894,0.1036079828582818,0.538,0.2283327510889237,0.1820971309188152,0.1971515590312632,0.3057495633166928,0.2283327510889237,33.62548720402312,2.038333047789222,-1.4769512793667894,3.5152843271560115,0.4810191918666815,-0.13270391825977204,0.6137231101264535,33.62548720402312,3.5152843271560115,42.16321235408708,3.7415480956873686,38.943643345891566,3.66211555863591,25.11140135970497,3.2233219804415887,B
baklava,7.9629,7.965,1.267,500,7.729,8.019,0.111,0.29,Mediterranean,bake,7.48,1.2435,0.854,0.38,987.8,986.8,0.8,2.13,bake,5,220,,0.0784766349165761,0.2274566473988439,0.538,0.28131109410514,0.230602479307999,0.267847482428566,0.345483320578855,0.28131109410514,28.306384521841387,2.0747932551153294,-1.2682941255681701,3.3430873806834995,0.6232503594242436,0.19756819470081452,0.425682164723429,28.306384521841387,3.3430873806834995,34.53085163652786,3.541853174767838,29.72923220259753,3.392130810998668,23.048580135962034,3.1376041682378384,C
banh_mi,7.2672,7.936,1.505,500,7.39,8.023,0.132,0.633,Vietnamese,bake,7.249,1.1665,0.777,0.38,706.3,705.3,0.8,1.7845,bake,7,245,,0.0736035287348974,0.1580214769782738,0.538,0.2565416685710571,0.2108071336120171,0.2319116206728612,0.3269062514282928,0.2565416685710571,28.327561914126733,1.9833710729291023,-1.3604641769955543,3.3438352499246564,0.2761783732095961,0.04315320090877716,0.23302517230081893,28.327561914126733,3.3438352499246564,34.47321670515675,3.5401826951523967,31.336075263995703,3.44476999819865,22.230226458652066,3.1014529149980845,C
beef_bourguignon,9.2647,7.96,1.39,402,7.656,8.023,0.136,0.367,French,braise,7.344,13.068,12.4885,0.57,3390.9,3389.9,1.2,66.427,braise,7,365,,0.8268148692706002,0.8202085409607334,0.802,0.8163411367437777,0.8189595698754835,0.8173079877980167,0.8127558525578334,0.8163411367437777,11.349054436917198,2.226211479288635,-0.20292295164563165,2.429134430934267,1.2726945331402526,3.532997213792018,-2.2603026806517654,11.349054436917198,2.429134430934267,11.31276846964329,2.4259320408676057,11.335628842880716,2.427950760398654,11.399118161798471,2.433535998180253,E
bibimbap,6.0879,7.912,1.508,500,7.215,8.018,0.132,0.803,Korean,stir_fry,7.176,6.316,6.069,0.2375,2058.8,2057.8,0.5,27.164,stir_fry,10,450,,0.3995004155213194,0.4916309547538369,0.34,0.4103771234250521,0.4076579464491189,0.4306905812572483,0.3927828425687891,0.4103771234250521,14.834891256095673,1.8063031946688959,-0.890678728820914,2.69698192348981,-0.3121527944530937,1.0021783011715397,-1.3143310956246335,14.834891256095673,2.69698192348981,14.93384356426338,2.7036300174189227,14.135205794908579,2.6486685502831895,15.499404098675237,2.7408015779394046,E
biryani,8.249,7.921,1.941,500,6.343,8.018,0.17,1.675,Indian,bake,6.789,2.5269,2.1374,0.38,1305.9,1304.9,0.8,2.894,bake,9,460,,0.1596992904174391,0.3059196232808451,0.538,0.3345396378994281,0.2908295510289308,0.3273846342447823,0.3854047284245711,0.3345396378994281,24.65776567403316,2.1100919808785945,-1.0949999074823478,3.2050918883609425,0.7659804086638736,0.5294000835043878,0.2365803251594858,24.65776567403316,3.2050918883609425,28.363692653706348,3.3451098995949433,25.19666208229035,3.226711528692197,21.403473781236812,3.0635532350803487,C
brisket,8.7905,7.922,1.711,500,7.087,8.011,0.15,0.924,American,smoke,7.046,15.7454,15.0234,0.7125,3882.1,3881.1,1.5,81.571,smoke,5,290,,0.9962597327878284,0.9413685967709784,1.0,0.9792094431862688,0.9834720155866588,0.9697492315824464,0.9844070823897018,0.9792094431862688,8.977139733657408,2.1736715929007073,-0.021009723493749546,2.194681316394457,1.0361248395036482,4.548333984264603,-3.5122091447609547,8.977139733657408,2.194681316394457,8.938230941687047,2.190337688361287,9.064714581578555,2.20438935795035,8.929740711190925,2.1893873587659596,E
brownie,4.2749,7.974,1.383,500,7.615,8.025,0.121,0.41,Other,bake,7.362,2.5955,2.206,0.38,1653.7,1652.7,0.8,6.713,bake,5,260,,0.1640407850156619,0.3917084412995814,0.538,0.3645830754384144,0.3144475028327263,0.3713644169037062,0.4079373065788109,0.3645830754384144,11.725448294217701,1.4527607103022653,-1.0090008373475932,2.4617615476498584,-1.2166252840422207,0.71669377809131,-1.9333190621335308,11.725448294217701,2.4617615476498584,13.594956110286168,2.609698849707481,11.511334434360926,2.443332152969393,10.47930633226877,2.349402487033253,E
bruschetta,6.3635,7.966,1.452,500,7.551,8.023,0.127,0.472,Italian,bake,7.304,0.7575,0.368,0.38,367.7,366.7,0.8,0.7021,bake,5,183,,0.0477191075880585,0.0745019433924656,0.538,0.2200736836601747,0.1769850396421456,0.1836807485932474,0.299555262745131,0.2200736836601747,28.91531551689822,1.8505785404499648,-1.51379286297681,3.364371403426775,-0.1746610028751769,-0.1841917431987654,0.009530740323588499,28.91531551689822,3.364371403426775,35.95501638368226,3.582268612226229,34.6443492240533,3.545134630779766,21.243158747019653,3.056034902219473,C
buffalo_wings,4.3427,7.893,1.941,500,5.987,8.01,0.17,2.023,American,deep_fry,6.761,2.6625,2.178,0.475,1365.4,1364.4,1.0,4.542,deep_fry,4,320,,0.1682810202646551,0.3205959736894558,0.67,0.386292331318037,0.3317895035546915,0.3698682419108917,0.4572192484885278,0.386292331318037,11.242004171251919,1.468496274491672,-0.9511608611299427,2.4196571356216148,-1.1828011059980161,0.8520313783626191,-2.0348324843606354,11.242004171251919,2.4196571356216148,13.088720268343746,2.571750811074122,11.741208105794168,2.4631047141987845,9.498069065018734,2.2510885216333136,E
