dish_id,H_yelp,H_foodcom,H_crocufid,H_foodpics,H_google,H_tripadvisor,n_foodcom,n_crocufid,n_foodpics,n_google,n_ta
grilled_cheese,7.194,9.636363636363637,,,8.761668731928955,8.465736810187993,11.0,,,2421.0,1649.0
guacamole,6.93,9.11304347826087,,,8.450126440011239,8.378071833648393,230.0,,,7118.0,10051.0
gyro,7.158,9.25,,,8.870840787119857,8.232896652110625,16.0,,,2795.0,687.0
hamburger,6.712,8.869158878504672,4.7535,4.5400303850033605,8.492571395537055,8.147376842513577,214.0,2.0,6.0,69192.0,82496.0
hot_and_sour_soup,6.726,9.128712871287128,,,8.561872909698996,8.22920517560074,101.0,,,299.0,541.0
hummus,7.347,8.856382978723405,,,9.108834827144687,8.620592050949405,376.0,,,2343.0,8479.0
ice_cream,7.338,7.538461538461538,,5.843354567708333,8.804157644001732,8.688266972720049,13.0,,2.0,11545.0,33981.0
japchae,7.318,,,,8.754098360655737,8.835443037974683,,,,61.0,79.0
katsu,6.973,9.652173913043478,,,8.88646684831971,8.226548672566372,23.0,,,1101.0,1130.0
kebab,7.286,,,,8.830113257828115,8.3972321183886,,,,1501.0,14596.0
kimbap,7.307,,,,8.636363636363637,9.0,,,,44.0,32.0
kimchi,7.178,8.5,,,8.87439278278973,8.575990538143111,8.0,,,1441.0,1691.0
kimchi_jjigae,6.817,,,,8.043478260869565,7.833333333333333,,,,46.0,36.0
korean_fried_chicken,6.228,,,,8.545454545454545,8.364444444444445,,,,231.0,225.0
korma,7.243,7.631578947368421,,,8.744186046511627,8.348858447488585,38.0,,,172.0,2190.0
kung_pao_chicken,6.489,8.738636363636363,,,8.157377049180328,8.28641975308642,352.0,,,305.0,405.0
larb,7.071,10.0,,,9.132530120481928,8.483660130718954,8.0,,,83.0,153.0
lasagna,6.885,8.988326848249027,,5.759465379818035,8.718048024786986,8.341805433829974,257.0,,5.0,2582.0,13692.0
lo_mein,6.505,,,,7.994236311239193,8.688796680497925,,,,347.0,241.0
lobster_roll,7.177,6.857142857142857,,,9.089698890649762,8.600885515496522,21.0,,,3155.0,3162.0
mac_and_cheese,6.986,8.90783410138249,,,8.70940108892922,8.521018642622153,434.0,,,13775.0,8207.0
mango_sticky_rice,7.382,,,,9.29203539823009,9.045454545454545,,,,113.0,88.0
mapo_tofu,6.879,,,,8.631578947368421,8.707317073170731,,,,95.0,82.0
massaman_curry,7.313,,,,8.786516853932584,8.743875278396436,,,,89.0,449.0
minestrone,6.638,9.070175438596491,,,8.648,8.210626185958255,114.0,,,250.0,1054.0
miso_soup,6.965,8.615384615384615,4.864,,8.840457046127804,8.40151010437486,13.0,1.0,,2363.0,4503.0
moussaka,7.124,9.247524752475247,,,8.944444444444445,8.404040404040405,101.0,,,108.0,1683.0
naan,7.203,9.004444444444445,,5.079598214285715,8.72110552763819,8.516847751340944,225.0,,3.0,1592.0,14542.0
nachos,6.823,8.666666666666666,,,8.485445298127908,8.292967484066113,15.0,,,9241.0,9257.0
okonomiyaki,7.216,8.8,,,8.98,8.466666666666667,10.0,,,100.0,300.0
onigiri,7.085,,4.060666666666666,,8.90625,8.644549763033176,,3.0,,128.0,211.0
orange_chicken,6.438,8.206896551724139,,,7.785594639865996,8.245398773006135,58.0,,,597.0,163.0
osso_buco,7.166,,,,9.15,8.747591522157997,,,,80.0,519.0
pad_see_ew,6.887,,,,9.005128205128205,8.523809523809524,,,,195.0,84.0
pad_thai,6.777,7.2,,,8.619047619047619,8.268026565464895,40.0,,,1806.0,4216.0
paella,7.111,8.478260869565217,,,8.90457097032879,8.00140616074175,46.0,,,1247.0,45514.0
palak_paneer,7.231,8.545454545454545,,,8.43298969072165,8.46927374301676,22.0,,,97.0,895.0
pancake,7.162,8.820261437908497,,5.7614411868543955,8.757155935306683,8.542195741355734,1224.0,,1.0,16385.0,20476.0
paneer_tikka,7.1,8.333333333333334,,,7.952941176470588,8.521307405875051,6.0,,,85.0,2417.0
panna_cotta,7.57,8.8,,,9.195652173913043,8.957914743415694,20.0,,,184.0,3683.0
papaya_salad,7.193,,,,8.844444444444445,8.451730418943534,,,,315.0,1098.0
pasta_bolognese,7.058,8.434782608695652,,6.42723433492647,9.082630691399663,8.205138036809815,46.0,,1.0,593.0,5216.0
pasta_carbonara,7.116,8.6875,,,8.780678851174935,8.085678881217914,96.0,,,766.0,5649.0
patatas_bravas,7.31,8.75,,,9.183333333333334,8.397539044013252,8.0,,,120.0,8452.0
peking_duck,7.07,,,,8.930817610062894,8.411039342337052,,,,318.0,1703.0
penne_arrabbiata,7.216,9.5,,,9.076923076923077,8.23938223938224,12.0,,,26.0,259.0
pho,6.974,,,,8.785714285714286,8.06060606060606,,,,84.0,198.0
