dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method
katsu,6.973,7.884,1.756,500,6.839,8.025,0.154,1.186,Japanese,deep_fry
kebab,7.286,7.952,1.518,500,7.558,8.019,0.133,0.461,Mediterranean,grill
kimbap,7.307,7.95,1.425,394,7.398,8.028,0.141,0.63,Korean,raw
kimchi,7.178,7.937,1.525,500,7.195,8.019,0.134,0.824,Korean,raw
kimchi_jjigae,6.817,7.894,1.837,222,5.994,8.024,0.242,2.03,Korean,boil
korean_fried_chicken,6.228,7.355,2.071,500,4.342,7.978,0.182,3.636,Korean,deep_fry
korma,7.243,7.969,1.602,500,7.591,8.02,0.14,0.429,Indian,simmer
kung_pao_chicken,6.489,7.776,2.18,500,5.476,8.004,0.191,2.528,Chinese,stir_fry
larb,7.071,7.913,1.697,500,7.214,8.022,0.149,0.808,Thai,raw
lasagna,6.885,7.942,1.903,500,6.798,8.013,0.167,1.215,Italian,bake
lo_mein,6.505,7.776,2.125,500,5.239,8.001,0.186,2.762,Chinese,stir_fry
lobster_roll,7.177,7.937,1.526,500,7.309,8.017,0.134,0.708,American,boil
mac_and_cheese,6.986,7.939,1.781,500,6.939,8.019,0.156,1.08,American,bake
mango_sticky_rice,7.382,7.963,1.419,500,7.674,8.022,0.124,0.348,Thai,steam
mapo_tofu,6.879,7.744,1.757,500,6.736,8.003,0.154,1.267,Chinese,stir_fry
massaman_curry,7.313,7.971,1.517,500,7.603,8.031,0.133,0.427,Thai,simmer
minestrone,6.638,7.831,2.009,500,5.579,8.003,0.176,2.424,Italian,simmer
miso_soup,6.965,7.861,1.719,500,6.701,8.016,0.151,1.315,Japanese,boil
moussaka,7.124,7.936,1.683,500,7.316,8.013,0.148,0.697,Mediterranean,bake
naan,7.203,7.952,1.559,500,7.42,8.019,0.137,0.599,Indian,bake
nachos,6.823,7.926,1.95,500,6.485,8.01,0.171,1.526,Mexican,bake
okonomiyaki,7.216,7.921,1.509,377,7.327,8.02,0.152,0.692,Japanese,pan_fry
onigiri,7.085,7.886,1.636,500,7.13,8.014,0.143,0.884,Japanese,raw
orange_chicken,6.438,7.742,2.172,500,4.768,8.004,0.19,3.236,Chinese,deep_fry
osso_buco,7.166,7.964,1.591,500,7.362,8.021,0.139,0.659,Italian,braise
pad_see_ew,6.887,7.902,1.805,500,6.498,8.023,0.158,1.525,Thai,stir_fry
pad_thai,6.777,7.919,1.956,500,6.257,8.011,0.171,1.754,Thai,stir_fry
paella,7.111,7.942,1.657,500,7.128,8.014,0.145,0.886,Spanish,simmer
palak_paneer,7.231,7.953,1.608,500,7.555,8.018,0.141,0.463,Indian,simmer
pancake,7.162,7.94,1.63,500,7.364,8.023,0.143,0.659,American,pan_fry
paneer_tikka,7.1,7.934,1.674,500,7.245,8.015,0.147,0.769,Indian,grill
panna_cotta,7.57,7.971,1.047,500,7.717,8.026,0.092,0.31,Italian,cold
papaya_salad,7.193,7.961,1.615,500,7.442,8.025,0.142,0.583,Thai,raw
pasta_bolognese,7.058,7.944,1.737,500,7.177,8.015,0.152,0.838,Italian,simmer
pasta_carbonara,7.116,7.958,1.709,500,7.311,8.021,0.15,0.71,Italian,boil
